article,title,days,views,first,last,created
Abdul_Razak_Ali_Artan,Abdul_Razak_Ali_Artan,2123,2989,2016-11-28,2024-12-31,2016-11-28
Alvin_Cole,Alvin_Cole,753,942,2020-10-12,2024-12-31,2020-10-12
Daniel_Prude,Daniel_Prude,1476,5905,2020-09-03,2024-12-31,2020-09-03
Death_of_Anthony_Baez,Death_of_Anthony_Baez,1358,15977,2021-04-14,2024-12-31,2006-08-30
Death_of_Anthony_Baez,"Baez,_Anthony",341,62,2018-07-06,2024-12-16,2018-07-06
Death_of_Anthony_Baez,Anthony_Baez,3469,75843,2015-07-01,2024-12-31,2021-04-14
Death_of_Jonathan_Sanders,Death_of_Jonathan_Sanders,3442,58890,2015-07-31,2024-12-31,2015-07-31
Death_of_Jonathan_Sanders,Jonathan_Sanders,1307,1582,2015-10-15,2024-12-31,2020-05-29
Death_of_Jonathan_Sanders,Killing_of_Jonathan_Sanders,69,24,2020-12-31,2024-12-12,2020-12-31
Death_of_Keenan_Anderson,Death_of_Keenan_Anderson,719,169594,2023-01-13,2024-12-31,2023-01-13
Death_of_Keenan_Anderson,Draft:Death_of_Keenan_Anderson,32,113,2023-01-13,2024-11-12,2023-01-13
Death_of_Keenan_Anderson,Keenan_Anderson,675,5164,2023-01-13,2024-12-31,2023-01-13
Death_of_Keenan_Anderson,Keenan_Darnell_Anderson,70,18,2023-01-13,2024-12-29,2023-01-13
Death_of_Mario_Gonzalez,Death_of_Mario_Gonzalez,1274,18200,2021-07-07,2024-12-31,2021-04-28
Death_of_Mario_Gonzalez,Mario_Arenales_Gonzalez,165,93,2021-04-30,2024-12-27,2021-04-30
Death_of_Mario_Gonzalez,Killing_of_Mario_Gonzalez,1192,14902,2021-04-28,2024-12-31,2021-07-07
Death_of_Mario_Gonzalez,Mario_Gonzalez_(construction_worker),566,299,2022-02-01,2024-12-31,2022-02-01
Death_of_Marvin_Scott,Death_of_Marvin_Scott,1373,16727,2021-03-28,2024-12-31,2021-03-28
Death_of_Marvin_Scott,Marvin_Scott_III,584,473,2021-03-21,2024-12-31,2021-03-21
Death_of_Marvin_Scott,Marvin_David_Scott_III,84,30,2021-03-21,2024-12-19,2021-03-21
Death_of_Marvin_Scott,Marvin_David_Scott,88,27,2021-03-21,2024-12-20,2021-03-21
Death_of_Michael_Stewart,Death_of_Michael_Stewart,3472,430368,2015-07-01,2024-12-31,2006-10-30
Death_of_Michael_Stewart,Michael_Stewart_(graffiti_writer),1659,1211,2015-07-01,2024-12-26,2008-06-15
Death_of_Michael_Stewart,Michael_Stewart_(Vandal),396,73,2015-07-01,2024-12-03,2009-08-19
Death_of_Michael_Stewart,Michael_Stewart_(graffiti_artist),3470,32094,2015-07-01,2024-12-31,2014-08-25
Death_of_Michael_Stewart,Michael_Jerome_Stewart,244,97,2018-09-15,2024-12-30,2018-09-15
Death_of_Michael_Stewart,Michael_J._Stewart,233,46,2018-09-15,2024-12-18,2018-09-15
Death_of_Natasha_McKenna,Death_of_Natasha_McKenna,1661,53053,2020-06-15,2024-12-31,2015-10-30
Death_of_Natasha_McKenna,Natasha_McKenna,3315,136493,2015-10-30,2024-12-31,2020-06-15
Death_of_Sandra_Bland,Death_of_Sandra_Bland,3452,6663188,2015-07-21,2024-12-31,2015-07-21
Death_of_Sandra_Bland,Sandra_Bland,3452,145450,2015-07-21,2024-12-31,2015-07-21
Death_of_Sandra_Bland,Suicide_of_Sandra_Bland,258,147,2019-02-13,2024-12-31,2019-02-13
Death_of_Tamla_Horsford,Death_of_Tamla_Horsford,1657,1460498,2020-06-19,2024-12-31,2020-06-19
Death_of_Tamla_Horsford,Tamla_Horsford,700,654,2022-01-06,2024-12-30,2022-01-06
Death_of_Tyrone_West,Death_of_Tyrone_West,2759,45435,2017-06-12,2024-12-31,2017-06-12
Death_of_Tyrone_West,Tyrone_West,1166,674,2015-07-04,2024-12-23,2006-01-19
Elijah_McClain,Elijah_McClain,1653,30087,2020-06-22,2024-12-31,2020-06-22
Eric_Garner,Eric_Garner,3472,280937,2015-07-01,2024-12-31,2014-07-20
Freddie_Gray,Freddie_Gray,3464,91238,2015-07-01,2024-12-31,2015-04-22
George_Floyd,George_Floyd,3408,14273271,2015-07-02,2024-12-31,2020-06-04
George_Floyd,"Floyd,_George",502,2153,2019-06-25,2024-12-31,2019-06-25
George_Floyd,George_Floyd_(rapper),405,462,2020-05-29,2024-12-11,2020-05-29
George_Floyd,George_Floyd_(died_2020),151,125,2020-05-29,2024-12-09,2020-05-29
George_Floyd,Big_Floyd,839,20596,2020-05-30,2024-12-31,2020-05-30
George_Floyd,George_Floyd_(detainee),171,134,2020-05-30,2024-12-22,2020-05-30
George_Floyd,George_Floyd_(Detainee),273,449,2020-05-30,2024-12-09,2020-05-30
George_Floyd,George_Perry_Floyd,519,2005,2020-06-01,2024-12-25,2020-06-01
George_Floyd,Geroge_Floyd,1002,2866,2020-06-03,2024-12-31,2020-06-03
George_Floyd,Draft:George_Floyd,613,328,2020-05-31,2024-12-31,2020-06-04
George_Floyd,George_Perry_Floyd_Jr.,304,158,2020-06-22,2024-12-16,2020-06-26
George_Floyd,George_P._Floyd,125,55,2020-07-06,2024-12-04,2020-07-06
George_Floyd,George_floyd,1533,53211,2020-10-21,2024-12-31,2020-10-21
George_Floyd,Perry_floyd,73,53,2021-05-26,2024-12-25,2021-05-26
George_Floyd,George_Floid,84,36,2023-10-22,2024-12-11,2023-10-22
Jonathan_Sanders,Jonathan_Sanders,1307,1582,2015-10-15,2024-12-31,2020-05-29
Kevin_Mullins,Kevin_Mullins,102,16662,2024-09-20,2024-12-31,2024-09-20
Killing_of_Akai_Gurley,Killing_of_Akai_Gurley,1149,54488,2021-11-09,2024-12-31,2014-12-10
Killing_of_Akai_Gurley,Akai_Gurley,3257,18499,2015-07-01,2024-12-31,2014-12-08
Killing_of_Akai_Gurley,Akai_Gurley_shooting,259,77,2015-07-15,2024-12-28,2014-12-15
Killing_of_Akai_Gurley,Shooting_of_Akai_Gurley,3472,509343,2015-07-01,2024-12-31,2021-11-09
Killing_of_Alfred_Olango,Killing_of_Alfred_Olango,1345,8934,2021-04-27,2024-12-31,2016-09-27
Killing_of_Alfred_Olango,Alfred_Olango,1343,2346,2016-09-28,2024-12-31,2016-09-29
Killing_of_Alfred_Olango,Shooting_of_Alfred_Olango,2951,38553,2016-09-29,2024-12-31,2021-04-27
Killing_of_Alton_Sterling,Killing_of_Alton_Sterling,1183,128855,2021-04-25,2024-12-31,2016-07-06
Killing_of_Alton_Sterling,Alton_Sterling,3101,68683,2016-07-06,2024-12-31,2016-07-07
Killing_of_Alton_Sterling,Alton_sterling,2278,24525,2016-07-06,2024-12-26,2016-07-07
Killing_of_Alton_Sterling,Murder_of_Alton_Sterling,495,149,2016-07-08,2024-12-31,2016-07-08
Killing_of_Alton_Sterling,Elton_Sterling,117,24,2020-09-11,2024-12-27,2020-09-11
Killing_of_Alton_Sterling,Shooting_of_Elton_Sterling,93,22,2020-09-11,2024-12-25,2020-09-11
Killing_of_Alton_Sterling,Shooting_of_Alton_Sterling,3101,1861004,2016-07-06,2024-12-31,2021-04-25
Killing_of_Alvin_Cole,Killing_of_Alvin_Cole,1518,25602,2020-11-05,2024-12-31,2020-10-11
Killing_of_Alvin_Cole,Alvin_Cole,753,942,2020-10-12,2024-12-31,2020-10-12
