article,person,scope_decision,in_registry,construct,reason,evidence_category,n_categories,wikidata_country,us_evidence,non_us_evidence,article_first_sentence
Killing_of_James_Brazier,James Brazier,exclude,False,police_violence,police-action category: Deaths in police custody in the United States,Deaths in police custody in the United States,8,,African-American United States Army personnel,,James Brazier (c
Killing_of_Johnny_Robinson,Johnny Robinson,exclude,False,police_violence,police-action category: African Americans shot dead by law enforcement officers in Alabama,African Americans shot dead by law enforcement officers in Alabama,15,,1963 in Alabama,,"Johnny Robinson (1947 – 1963) was a 16-year-old African-American boy who was shot and killed by a police officer in the unrest following the 16th Street Baptist Church bombing in Birmingham, Alabama"
Killing_of_Vivian_Strong,Vivian Strong,exclude,False,police_violence,police-action category: African Americans shot dead by law enforcement officers in the United States,African Americans shot dead by law enforcement officers in the United States,14,,1969 in Nebraska,,"On June 24, 1969, Vivian Strong, a 14-year-old Black American girl, was killed in Omaha, Nebraska, United States, when a white police officer shot her in the back of the head without warning"
Killing_of_Clifford_Glover,Clifford Glover,exclude,False,police_violence,police-action category: New York City Police Department corruption and misconduct,New York City Police Department corruption and misconduct,14,United States,1973 in New York City,,"Clifford Glover was a 10-year-old African American boy who was fatally shot by Thomas Shea, an on-duty, undercover policeman, on April 28, 1973"
Murder_of_Santos_Rodriguez,Santos Rodriguez,exclude,False,police_violence,police-action category: Dallas Police Department,Dallas Police Department,25,United States,1970s crimes in Texas,,"On the morning of July 24, 1973, in Dallas, Texas, 30-year-old Dallas police officer Darrell Lee Cain murdered Santos Rodriguez, a 12-year-old Mexican-American child"
Killing_of_José_Campos_Torres,José Campos Torres,exclude,False,police_violence,police-action category: Deaths in police custody in the United States,Deaths in police custody in the United States,29,United States,1977 in Texas,,"José ""Joe"" Campos Torres (December 20, 1953 – May 5, 1977) was a 23-year-old Mexican-American and veteran who was beaten by several Houston Police Department (HPD) officers, which subsequently led to his death"
Murder_of_Michelle_Busha,Michelle Busha,exclude,False,police_violence,police-action category: Murders by law enforcement officers in the United States,Murders by law enforcement officers in the United States,17,,1980 in Minnesota,,"Michelle Yvette Busha was a formerly unidentified murder victim discovered in Blue Earth, Minnesota, in 1980"
Murder_of_Sherri_Rasmussen,Sherri Rasmussen,exclude,False,police_violence,police-action category: Los Angeles Police Department,Los Angeles Police Department,15,United States,1986 in California,,"On February 24, 1986, the body of Sherri Rasmussen (born February 7, 1957) was found in the condominium she shared with her husband, John Ruetten, in the Van Nuys neighborhood of Los Angeles, California, United States"
Murder_of_Cara_Knott,Cara Knott,exclude,False,police_violence,police-action category: Asphyxia-related deaths by law enforcement in the United States,Asphyxia-related deaths by law enforcement in the United States,15,United States,1986 in California,,"Cara Evelyn Knott (February 11, 1966 – December 27, 1986) was an American student at San Diego State University who disappeared on December 27, 1986, while driving from her boyfriend's home in Escondido, California, to her parents' house in El Cajon"
Death_of_Anthony_Baez,Anthony Baez,exclude,False,police_violence,police-action category: Asphyxia-related deaths by law enforcement in the United States,Asphyxia-related deaths by law enforcement in the United States,9,,Asphyxia-related deaths by law enforcement in the United States,,"Anthony Ramon Baez (September 20, 1965 – December 22, 1994) was a security guard who died immediately following an altercation with police on December 22, 1994, at the age of 29"
