article,person,death_date,date_source,wd_precision,country,in_registry,decision,reason
Killing_of_James_Brazier,James Brazier,1958-04-25,wikidata,day,,False,exclude,before the registry era (1958-04-25)
Killing_of_Johnny_Robinson,Johnny Robinson,1963-09-15,wikidata,day,,False,exclude,before the registry era (1963-09-15)
Killing_of_Vivian_Strong,Vivian Strong,1969-06-24,wikidata,day,,False,exclude,before the registry era (1969-06-24)
Killing_of_Clifford_Glover,Clifford Glover,1973-04-28,wikidata,day,United States,False,exclude,before the registry era (1973-04-28)
Murder_of_Santos_Rodriguez,Santos Rodriguez,1973-07-24,wikidata,day,United States,False,exclude,before the registry era (1973-07-24)
Killing_of_José_Campos_Torres,José Campos Torres,1977-05-05,wikidata,day,United States,False,exclude,before the registry era (1977-05-05)
Murder_of_Michelle_Busha,Michelle Busha,1980-05-26,wikidata,day,,False,exclude,before the registry era (1980-05-26)
Murder_of_Sherri_Rasmussen,Sherri Rasmussen,1986-02-24,wikidata,day,United States,False,exclude,before the registry era (1986-02-24)
Murder_of_Cara_Knott,Cara Knott,1986-12-27,wikidata,day,United States,False,exclude,before the registry era (1986-12-27)
Death_of_Anthony_Baez,Anthony Baez,1994-12-22,wikidata,day,,False,exclude,before the registry era (1994-12-22)
Killing_of_Jonny_Gammage,Jonny Gammage,1995-10-12,wikidata,day,,False,exclude,before the registry era (1995-10-12)
Killing_of_Kuanchung_Kao,Kuanchung Kao,1997-04-29,wikidata,day,,False,exclude,before the registry era (1997-04-29)
Killing_of_Amadou_Diallo,Amadou Diallo,1999-02-04,wikidata,day,United States,False,exclude,before the registry era (1999-02-04)
Killing_of_Kendra_James,Kendra James,2003-05-05,wikidata,day,,False,exclude,before the registry era (2003-05-05)
Killing_of_Bich_Cau_Thi_Tran,Bich Cau Thi Tran,2003-07-13,wikidata,day,,False,exclude,before the registry era (2003-07-13)
Killing_of_Daniel_Rocha,Daniel Rocha,2005-06-09,wikidata,day,,False,exclude,before the registry era (2005-06-09)
Killing_of_Fouad_Kaady,Fouad Kaady,2005-09-08,wikidata,day,,False,exclude,before the registry era (2005-09-08)
Killing_of_Rigoberto_Alpizar,Rigoberto Alpizar,2005-12-07,wikidata,day,United States,False,exclude,before the registry era (2005-12-07)
Death_of_Martin_Anderson,Martin Anderson,2006-01-06,wikidata,day,,False,exclude,before the registry era (2006-01-06)
Killing_of_Christopher_Penley,Christopher Penley,2006-01-15,wikidata,day,,False,exclude,before the registry era (2006-01-15)
Death_of_Otto_Zehm,Otto Zehm,2006-03-20,wikidata,day,United States,False,exclude,before the registry era (2006-03-20)
Killing_of_Michael_Cho,Michael Cho,2007-12-31,wikidata,day,,False,exclude,before the registry era (2007-12-31)
Killing_of_Oscar_Grant,Oscar Grant,2009-01-01,wikidata,day,United States,False,exclude,before the registry era (2009-01-01)
Killing_of_Anastasio_Hernández-Rojas,Anastasio Hernández-Rojas,2010-05-01,wikidata,month,,False,exclude,before the registry era (2010-05-01)
Killing_of_Aiyana_Jones,Aiyana Jones,2010-05-16,wikidata,day,United States,False,exclude,before the registry era (2010-05-16)
Killing_of_Jose_Guerena,Jose Guerena,2011-05-05,wikidata,day,,False,exclude,before the registry era (2011-05-05)
Killing_of_Kelly_Thomas,Kelly Thomas,2011-07-10,wikidata,day,,False,exclude,before the registry era (2011-07-10)
Death_of_Elliott_Williams,Elliott Williams,2011-10-01,wikidata,month,,False,exclude,before the registry era (2011-10-01)
Killing_of_Ramarley_Graham,Ramarley Graham,2012-02-02,wikidata,day,United States,False,exclude,before the registry era (2012-02-02)
Killing_of_Trayvon_Martin,Trayvon Martin,2012-02-26,wikidata,day,United States,False,exclude,before the registry era (2012-02-26)
Killing_of_Rekia_Boyd,Rekia Boyd,2012-03-21,wikidata,day,United States,False,exclude,before the registry era (2012-03-21)
Killing_of_Mohamed_Bah,Mohamed Bah,2012-09-25,wikidata,day,,False,exclude,before the registry era (2012-09-25)
Murder_of_Jordan_Davis,Jordan Davis,2012-11-23,wikidata,day,United States,False,exclude,before the registry era (2012-11-23)
Killing_of_Timothy_Russell_and_Malissa_Williams,Timothy Russell and Malissa Williams,2012-11-29,wikidata,day,United States,False,exclude,before the registry era (2012-11-29)
Death_of_Adama_Traoré,Adama Traoré,2016-07-19,wikidata,day,France,False,exclude,not a US killing (country=France)
Death_of_Abdirahman_Abdi,Abdirahman Abdi,2016-07-24,wikidata,day,Canada,False,exclude,not a US killing (country=Canada)
Killing_of_Lorenzo_Salgado_Araujo,Lorenzo Salgado Araujo,2026-07-07,wikidata,day,United States,False,exclude,after the study window (2026-07-07)
Death_of_Alonzo_Brooks,Alonzo Brooks,,unresolved,none,,False,exclude,"no date of death in Wikidata, and no registry match"
Death_of_Chavis_Carter,Chavis Carter,,unresolved,none,,False,exclude,"no date of death in Wikidata, and no registry match"
Death_of_Michael_Stewart,Michael Stewart,,unresolved,none,United States,False,exclude,"no date of death in Wikidata, and no registry match"
Killing_of_Archie_Elliott_III,Archie Elliott III,,unresolved,none,,False,exclude,"no date of death in Wikidata, and no registry match"
Killing_of_Carnell_Russ,Carnell Russ,,unresolved,none,,False,exclude,"no date of death in Wikidata, and no registry match"
