article,item,label,date,date_precision,country,manner
Death_of_Abdirahman_Abdi,Q26761750,death of Abdirahman Abdi,2016-07-24,day,Canada,
Death_of_Adama_Traoré,Q26213488,death of Adama Traoré,2016-07-19,day,France,
Death_of_Alonzo_Brooks,Q97041412,death of Alonzo Brooks,,none,,
Death_of_Anthony_Baez,Q4772051,Anthony Baez,1994-12-22,day,,
Death_of_Chavis_Carter,Q5247409,death of Chavis Carter,,none,,
Death_of_Elliott_Williams,Q26213573,Death of Elliott Williams,2011-10-00,month,,
Death_of_Jonathan_Sanders,Q20810848,death of Jonathan Sanders,2015-07-08,day,,
Death_of_Keenan_Anderson,Q116207446,Death of Keenan Anderson,,none,,
Death_of_Mario_Gonzalez,Q106636831,death of Mario Gonzalez,2021-04-19,day,United States,
Death_of_Martin_Anderson,Q6774894,Martin Anderson case,2006-01-06,day,,
Death_of_Marvin_Scott,Q106468582,death of Marvin Scott,2021-03-14,day,,
Death_of_Michael_Stewart,Q123262163,death of Michael Stewart,,none,United States,
Death_of_Natasha_McKenna,Q21663283,Natasha McKenna,2015-02-08,day,,
Death_of_Otto_Zehm,Q5247509,Death of Otto Zehm,2006-03-20,day,United States,
Death_of_Sandra_Bland,Q20709325,death of Sandra Bland,2015-07-13,day,United States,
Death_of_Tamla_Horsford,Q97356939,death of Tamla Horsford,2018-11-04,day,United States,
Death_of_Tyrone_West,Q30242964,death of Tyrone West,,none,,
George_Floyd,Q95677819,George Floyd,2020-05-25,day,,homicide
Gonzalo_Lopez,Q112649167,Gonzalo Lopez,2022-06-02,day,,
Killing_of_Adam_Toledo,Q106512243,killing of Adam Toledo,2021-03-29,day,United States,
Killing_of_Aiyana_Jones,Q105595919,killing of Aiyana Jones,2010-05-16,day,United States,
Killing_of_Akai_Gurley,Q18635470,killing of Akai Gurley,2014-11-20,day,United States,
Killing_of_Alex_Nieto,Q24044974,Alex Nieto,2014-03-21,day,,
Killing_of_Alfred_Olango,Q27064193,killing of Alfred Olango,2016-09-27,day,,
Killing_of_Alfred_Redwine,Q16588750,Killing of Alfred Redwine,2014-03-25,day,United States,
Killing_of_Alton_Sterling,Q25529555,shooting of Alton Sterling,2016-07-05,day,United States,
Killing_of_Alvin_Cole,Q104862543,Killing of Alvin Cole,2020-02-02,day,United States,
Killing_of_Amadou_Diallo,Q26707660,killing of Amadou Diallo,1999-02-04,day,United States,
Killing_of_Amir_Locke,Q111168423,Killing of Amir Locke,,none,United States,
Killing_of_Anastasio_Hernández-Rojas,Q22132864,death of Anastasio Hernández-Rojas,2010-05-00,month,,
Killing_of_Andres_Guardado,Q96471275,Killing of Andres Guardado,2020-06-18,day,,
Killing_of_Andrew_Brown_Jr.,Q106627813,killing of Andrew Brown Jr.,2021-04-21,day,United States,
Killing_of_Andy_Lopez,Q15993500,Shooting of Andy Lopez,2013-10-22,day,United States,
Killing_of_Angelo_Quinto,Q105906177,Killing of Angelo Quinto,,none,,
Killing_of_Anthony_Alvarez,Q106649998,killing of Anthony Alvarez,2021-03-31,day,United States,
Killing_of_Anthony_Hill,Q22908895,shooting of Anthony Hill,2015-03-09,day,United States,
Killing_of_Anthony_Weber,Q50205092,shooting of Anthony Weber,2018-02-04,day,,
Killing_of_Antonio_Martin,Q19864825,Shooting of Antonio Martin,2014-12-23,day,United States,
Killing_of_Antonio_Zambrano-Montes,Q19867464,Shooting of Antonio Zambrano-Montes,2015-02-10,day,,
Killing_of_Antwon_Rose_Jr.,Q55310149,shooting of Antwon Rose II,,none,,
Killing_of_Archie_Elliott_III,Q134488433,Killing of Archie Elliott III,,none,,
Killing_of_Atatiana_Jefferson,Q71046962,killing of Atatiana Jefferson,2019-10-12,day,United States,
Killing_of_Bernardo_Palacios-Carbajal,Q97354346,Killing of Bernardo Palacios-Carbajal,2020-05-23,day,United States,
Killing_of_Bich_Cau_Thi_Tran,Q19881709,Shooting of Cau Bich Tran,2003-07-13,day,,
Killing_of_Breonna_Taylor,Q95721899,shooting of Breonna Taylor,2020-03-13,day,United States,
Killing_of_Carlos_Carson,Q96475081,Shooting of Carlos Carson,2020-06-06,day,United States,
Killing_of_Carnell_Russ,Q98213288,Killing of Carnell Russ,,none,,
Killing_of_Casey_Goodson,Q139854007,Killing of Casey Goodson,,none,,
Killing_of_Charley_Leundeu_Keunang,Q22908727,shooting of Charley Leundeu Keunang,2015-03-01,day,United States,
Killing_of_Christian_Hall,Q105834386,Killing of Christian Hall,2020-12-30,day,United States,
Killing_of_Christopher_Penley,Q5113048,Christopher Penley,2006-01-15,day,,
Killing_of_Claudia_Gómez_González,Q99394732,Killing of Claudia Gómez González,,none,,
Killing_of_Clifford_Glover,Q16826592,"1973 shooting in South Jamaica, Queens",1973-04-28,day,United States,
Killing_of_Corey_Jones,Q21642631,shooting of Corey Jones,2015-10-18,day,United States,
Killing_of_Corey_Ruiz,Q141284614,Killing of Corey Ruiz,,none,,
Killing_of_Daniel_Hambrick,Q107563902,Killing of Daniel Hambrick,,none,,
Killing_of_Daniel_Prude,Q98839075,Killing of Daniel Prude,2020-03-23,day,United States,
Killing_of_Daniel_Rocha,Q5218599,death of Daniel Rocha,2005-06-09,day,,
Killing_of_Daunte_Wright,Q106477445,killing of Daunte Wright,2021-04-11,day,United States,
Killing_of_David_McAtee,Q95994931,Shooting of David McAtee,2020-06-01,day,United States,
Killing_of_Deborah_Danner,Q28100206,Shooting of Deborah Danner,,none,,
Killing_of_Deona_Marie_Knajdek,Q107265586,killing of Deona Knajdek,2021-06-13,day,United States,
Killing_of_Dhal_Apet_and_Lueth_Mo,Q122754060,Killing of Dhal Apet and Lueth Mo,,none,,
Killing_of_Dijon_Kizzee,Q98912221,death of Dijon Kizzee,2020-08-31,day,,
Killing_of_Dion_Johnson,Q96197430,death of Dion Johnson,2020-05-25,day,,
Killing_of_Dolal_Idd,Q104621508,killing of Dolal Idd,2020-12-30,day,United States,
Killing_of_Donovan_Lewis,Q114024594,Killing of Donovan Lewis,,none,,
Killing_of_Dontre_Hamilton,Q19881712,shooting of Dontre Hamilton,2014-04-30,day,United States,
Killing_of_Duncan_Lemp,Q95692869,Shooting of Duncan Lemp,2020-03-12,day,United States,
Killing_of_Dylan_Noble,Q139761028,Killing of Dylan Noble,,none,,
Killing_of_Eddie_Irizarry,Q122346600,Killing of Eddie Irizarry,,none,,
Killing_of_Elijah_McClain,Q96376098,death of Elijah McClain,2019-08-30,day,United States,
Killing_of_Emantic_Fitzgerald_Bradford_Jr.,Q59185659,shooting of Emantic Fitzgerald Bradford Jr.,,none,,
Killing_of_Eric_Garner,Q17400785,killing of Eric Garner,2014-07-17,day,United States,
Killing_of_Eric_Harris,Q19881714,Shooting of Eric Courtney Harris,,none,,
Killing_of_Eurie_Martin,Q109313143,Killing of Eurie Martin,,none,,
