name,article
Tyrone West,Death_of_Tyrone_West
Larry Jackson Jr.,Killing_of_Larry_Jackson_Jr.
Jonathan Ferrell,Killing_of_Jonathan_Ferrell
Andy Lopez,Killing_of_Andy_Lopez
James Boyd,Killing_of_James_Boyd
Alex Nieto,Killing_of_Alex_Nieto
Alfred Redwine,Killing_of_Alfred_Redwine
Dontre Hamilton,Killing_of_Dontre_Hamilton
Eric Harris,Killing_of_Eric_Harris
Eric Garner,Killing_of_Eric_Garner
John Crawford III,Killing_of_John_Crawford_III
Michael Brown,Killing_of_Michael_Brown
Ezell Ford,Killing_of_Ezell_Ford
Laquan McDonald,Murder_of_Laquan_McDonald
Akai Gurley,Killing_of_Akai_Gurley
Tamir Rice,Killing_of_Tamir_Rice
Antonio Martin,Killing_of_Antonio_Martin
Natasha McKenna,Death_of_Natasha_McKenna
Antonio Zambrano-Montes,Killing_of_Antonio_Zambrano-Montes
Charley Leundeu Keunang,Killing_of_Charley_Leundeu_Keunang
Tony Robinson,Killing_of_Tony_Robinson
Anthony Hill,Killing_of_Anthony_Hill
Meagan Hockaday,Killing_of_Meagan_Hockaday
Walter Scott,Killing_of_Walter_Scott
Freddie Gray,Killing_of_Freddie_Gray
Jonathan Sanders,Death_of_Jonathan_Sanders
Sandra Bland,Death_of_Sandra_Bland
Samuel DuBose,Killing_of_Samuel_DuBose
Zachary Hammond,Killing_of_Zachary_Hammond
Jeremy McDole,Killing_of_Jeremy_McDole
Corey Jones,Killing_of_Corey_Jones
Jamar Clark,Killing_of_Jamar_Clark
Daniel Shaver,Shooting_of_Daniel_Shaver
Dylan Noble,Killing_of_Dylan_Noble
Alton Sterling,Killing_of_Alton_Sterling
Philando Castile,Killing_of_Philando_Castile
Joseph Mann,Killing_of_Joseph_Mann
Charles Kinsey,Shooting_of_Charles_Kinsey
Korryn Gaines,Killing_of_Korryn_Gaines
Tony Timpa,Killing_of_Tony_Timpa
Terence Crutcher,Killing_of_Terence_Crutcher
Keith Lamont Scott,Killing_of_Keith_Lamont_Scott
Alfred Olango,Killing_of_Alfred_Olango
Deborah Danner,Killing_of_Deborah_Danner
Jordan Edwards,Murder_of_Jordan_Edwards
Patrick Harmon,Killing_of_Patrick_Harmon
John Albers,Killing_of_John_Albers
Anthony Weber,Killing_of_Anthony_Weber
Claudia Gómez González,Killing_of_Claudia_Gómez_González
Antwon Rose Jr.,Killing_of_Antwon_Rose_Jr.
Daniel Hambrick,Killing_of_Daniel_Hambrick
Vanessa Marquez,Vanessa_Marquez
Emantic Fitzgerald Bradford Jr.,Killing_of_Emantic_Fitzgerald_Bradford_Jr.
George Robinson,Killing_of_George_Robinson
Willie McCoy,Killing_of_Willie_McCoy
Javier Ambler,Killing_of_Javier_Ambler
Ronald Greene,Killing_of_Ronald_Greene
Jared Lakey,Murder_of_Jared_Lakey
Elijah McClain,Killing_of_Elijah_McClain
Atatiana Jefferson,Killing_of_Atatiana_Jefferson
Alvin Cole,Killing_of_Alvin_Cole
Manuel Ellis,Killing_of_Manuel_Ellis
Duncan Lemp,Killing_of_Duncan_Lemp
Breonna Taylor,Killing_of_Breonna_Taylor
Daniel Prude,Killing_of_Daniel_Prude
Bernardo Palacios-Carbajal,Killing_of_Bernardo_Palacios-Carbajal
George Floyd,George_Floyd
Dion Johnson,Killing_of_Dion_Johnson
George Floyd,Murder_of_George_Floyd
Tony McDade,Killing_of_Tony_McDade
David McAtee,Killing_of_David_McAtee
Sean Monterrosa,Killing_of_Sean_Monterrosa
Rayshard Brooks,Killing_of_Rayshard_Brooks
Andres Guardado,Killing_of_Andres_Guardado
Julian Lewis,Killing_of_Julian_Lewis
Jacob Blake,Shooting_of_Jacob_Blake
Dijon Kizzee,Killing_of_Dijon_Kizzee
Marcellis Stinnette,Killing_of_Marcellis_Stinnette
Walter Wallace,Killing_of_Walter_Wallace
Casey Goodson,Killing_of_Casey_Goodson
Andre Hill,Murder_of_Andre_Hill
Angelo Quinto,Killing_of_Angelo_Quinto
Christian Hall,Killing_of_Christian_Hall
Dolal Idd,Killing_of_Dolal_Idd
Marvin Scott,Death_of_Marvin_Scott
Adam Toledo,Killing_of_Adam_Toledo
Anthony Alvarez,Killing_of_Anthony_Alvarez
Daunte Wright,Killing_of_Daunte_Wright
Lindani Myeni,Killing_of_Lindani_Myeni
Mario Gonzalez,Death_of_Mario_Gonzalez
Ma'Khia Bryant,Killing_of_Ma'Khia_Bryant
Andrew Brown Jr.,Killing_of_Andrew_Brown_Jr.
Winston Boogie Smith,Killing_of_Winston_Boogie_Smith
Leneal Frazier,Killing_of_Leneal_Frazier
Guillermo Sanchez and Guillardo Sanchez,Killing_of_Guillermo_Sanchez_and_Guillardo_Sanchez
Richard Lee Richards,Killing_of_Richard_Lee_Richards
Amir Locke,Killing_of_Amir_Locke
Patrick Lyoya,Killing_of_Patrick_Lyoya
Jayland Walker,Killing_of_Jayland_Walker
Donovan Lewis,Killing_of_Donovan_Lewis
Savannah Graziano,Killing_of_Savannah_Graziano
Keenan Anderson,Death_of_Keenan_Anderson
Sayed Faisal,Killing_of_Sayed_Faisal
Tyre Nichols,Killing_of_Tyre_Nichols
Ricky Cobb II,Killing_of_Ricky_Cobb_II
Eddie Irizarry,Killing_of_Eddie_Irizarry
Dhal Apet and Lueth Mo,Killing_of_Dhal_Apet_and_Lueth_Mo
Nyah Mway,Killing_of_Nyah_Mway
Kevin Mullins,Killing_of_Kevin_Mullins
