bound,communitydistrict,effective_from,exposure
early,108,2021-06-01,4e-06
early,108,2023-03-01,0.051505
early,109,2021-11-01,1.0
early,110,2021-06-01,0.99725
early,110,2021-11-01,1.0
early,111,2021-06-01,0.579669
early,111,2022-03-01,0.580011
early,112,2022-03-01,0.999991
early,112,2023-10-01,1.0
early,201,2022-03-01,1.0
early,202,2022-03-01,1.0
early,203,2022-03-01,1.0
early,204,2022-03-01,1.0
early,205,2023-10-01,1.0
early,206,2023-10-01,1.0
early,207,2023-10-01,1.0
early,208,2023-10-01,1.0
early,209,2022-03-01,0.99773
early,209,2023-10-01,1.0
early,210,2022-03-01,3.1e-05
early,210,2023-10-01,1.0
early,211,2023-10-01,1.0
early,212,2023-10-01,1.0
early,304,2022-10-01,0.000468
early,305,2022-10-01,1.0
early,309,2023-03-01,1.0
early,315,2023-03-01,1.0
early,316,2022-10-01,1.0
early,317,2023-03-01,0.998846
early,318,2022-10-01,0.006977
early,318,2023-03-01,1.0
early,401,2023-03-01,1.0
early,402,2023-03-01,1.0
early,403,2023-03-01,0.998392
early,405,2023-03-01,0.998777
early,406,2023-03-01,0.986759
early,410,2022-10-01,0.000157
late,108,2021-06-30,4e-06
late,108,2024-12-31,0.051505
late,109,2022-12-31,1.0
late,110,2021-06-30,0.99725
late,110,2022-12-31,1.0
late,111,2021-06-30,0.579669
late,111,2023-12-31,0.580011
late,112,2022-03-31,0.999991
late,112,2023-10-31,1.0
late,201,2023-12-31,1.0
late,202,2023-12-31,1.0
late,203,2023-12-31,1.0
late,204,2023-12-31,1.0
late,205,2023-10-31,1.0
late,206,2023-10-31,1.0
late,207,2023-10-31,1.0
late,208,2023-10-31,1.0
late,209,2023-10-31,0.00227
late,209,2023-12-31,1.0
late,210,2023-10-31,0.999969
late,210,2023-12-31,1.0
late,211,2023-10-31,1.0
late,212,2023-10-31,1.0
late,304,2022-10-31,0.000468
late,305,2022-10-31,1.0
late,309,2024-12-31,1.0
late,315,2024-12-31,1.0
late,316,2022-10-31,1.0
late,317,2024-12-31,0.998846
late,318,2022-10-31,0.006977
late,318,2024-12-31,1.0
late,401,2024-12-31,1.0
late,402,2024-12-31,1.0
late,403,2024-12-31,0.998392
late,405,2024-12-31,0.998777
late,406,2024-12-31,0.986759
late,410,2022-10-31,0.000157
