date,component,value
2015-07-01,wiki_ext,9545
2015-07-02,wiki_ext,9684
2015-07-03,wiki_ext,8089
2015-07-04,wiki_ext,6651
2015-07-05,wiki_ext,8525
2015-07-06,wiki_ext,7851
2015-07-07,wiki_ext,7416
2015-07-08,wiki_ext,8760
2015-07-09,wiki_ext,9785
2015-07-10,wiki_ext,8590
2015-07-11,wiki_ext,8213
2015-07-12,wiki_ext,8051
2015-07-13,wiki_ext,17341
2015-07-14,wiki_ext,25408
2015-07-15,wiki_ext,12873
2015-07-16,wiki_ext,9515
2015-07-17,wiki_ext,15195
2015-07-18,wiki_ext,12877
2015-07-19,wiki_ext,10308
2015-07-20,wiki_ext,9732
2015-07-21,wiki_ext,12607
2015-07-22,wiki_ext,70755
2015-07-23,wiki_ext,154538
2015-07-24,wiki_ext,264560
2015-07-25,wiki_ext,127282
2015-07-26,wiki_ext,128056
2015-07-27,wiki_ext,120421
2015-07-28,wiki_ext,103525
2015-07-29,wiki_ext,102742
2015-07-30,wiki_ext,76333
2015-07-31,wiki_ext,45657
2015-08-01,wiki_ext,32360
2015-08-02,wiki_ext,24861
2015-08-03,wiki_ext,25768
2015-08-04,wiki_ext,34441
2015-08-05,wiki_ext,23416
2015-08-06,wiki_ext,20569
2015-08-07,wiki_ext,18890
2015-08-08,wiki_ext,21363
2015-08-09,wiki_ext,52878
2015-08-10,wiki_ext,72083
2015-08-11,wiki_ext,54191
2015-08-12,wiki_ext,31865
2015-08-13,wiki_ext,23171
2015-08-14,wiki_ext,30797
2015-08-15,wiki_ext,17573
2015-08-16,wiki_ext,17061
2015-08-17,wiki_ext,18845
2015-08-18,wiki_ext,18856
2015-08-19,wiki_ext,17887
2015-08-20,wiki_ext,16548
2015-08-21,wiki_ext,13600
2015-08-22,wiki_ext,13130
2015-08-23,wiki_ext,24143
2015-08-24,wiki_ext,23520
2015-08-25,wiki_ext,17596
2015-08-26,wiki_ext,17264
2015-08-27,wiki_ext,18868
2015-08-28,wiki_ext,15186
2015-08-29,wiki_ext,13765
2015-08-30,wiki_ext,15329
2015-08-31,wiki_ext,17035
2015-09-01,wiki_ext,18656
2015-09-02,wiki_ext,29104
2015-09-03,wiki_ext,22047
2015-09-04,wiki_ext,14126
2015-09-05,wiki_ext,10644
2015-09-06,wiki_ext,10246
2015-09-07,wiki_ext,11184
2015-09-08,wiki_ext,28394
2015-09-09,wiki_ext,27361
2015-09-10,wiki_ext,23075
2015-09-11,wiki_ext,23855
2015-09-12,wiki_ext,11393
2015-09-13,wiki_ext,11820
2015-09-14,wiki_ext,12956
2015-09-15,wiki_ext,14592
2015-09-16,wiki_ext,12427
2015-09-17,wiki_ext,11785
2015-09-18,wiki_ext,10920
2015-09-19,wiki_ext,7688
2015-09-20,wiki_ext,9083
2015-09-21,wiki_ext,11967
2015-09-22,wiki_ext,10618
2015-09-23,wiki_ext,10897
2015-09-24,wiki_ext,10372
2015-09-25,wiki_ext,8895
2015-09-26,wiki_ext,7418
2015-09-27,wiki_ext,7952
2015-09-28,wiki_ext,10727
2015-09-29,wiki_ext,15458
2015-09-30,wiki_ext,12978
2015-10-01,wiki_ext,11211
2015-10-02,wiki_ext,9504
2015-10-03,wiki_ext,7514
2015-10-04,wiki_ext,9083
2015-10-05,wiki_ext,10589
2015-10-06,wiki_ext,10676
2015-10-07,wiki_ext,10246
2015-10-08,wiki_ext,11296
2015-10-09,wiki_ext,16769
2015-10-10,wiki_ext,9134
2015-10-11,wiki_ext,20449
2015-10-12,wiki_ext,19344
2015-10-13,wiki_ext,14916
2015-10-14,wiki_ext,16497
2015-10-15,wiki_ext,15770
2015-10-16,wiki_ext,26295
2015-10-17,wiki_ext,11927
2015-10-18,wiki_ext,10127
2015-10-19,wiki_ext,11926
2015-10-20,wiki_ext,11166
2015-10-21,wiki_ext,12384
2015-10-22,wiki_ext,11889
2015-10-23,wiki_ext,13106
2015-10-24,wiki_ext,10474
2015-10-25,wiki_ext,8718
2015-10-26,wiki_ext,11738
2015-10-27,wiki_ext,15997
2015-10-28,wiki_ext,19135
2015-10-29,wiki_ext,16355
2015-10-30,wiki_ext,13410
2015-10-31,wiki_ext,8198
2015-11-01,wiki_ext,9221
2015-11-02,wiki_ext,11915
2015-11-03,wiki_ext,12421
2015-11-04,wiki_ext,12953
2015-11-05,wiki_ext,13066
2015-11-06,wiki_ext,10589
2015-11-07,wiki_ext,11763
2015-11-08,wiki_ext,11541
2015-11-09,wiki_ext,17035
2015-11-10,wiki_ext,13953
2015-11-11,wiki_ext,15262
2015-11-12,wiki_ext,14015
2015-11-13,wiki_ext,12039
2015-11-14,wiki_ext,8396
2015-11-15,wiki_ext,10220
2015-11-16,wiki_ext,13305
2015-11-17,wiki_ext,14199
2015-11-18,wiki_ext,13532
2015-11-19,wiki_ext,14368
2015-11-20,wiki_ext,13049
2015-11-21,wiki_ext,10803
2015-11-22,wiki_ext,12162
2015-11-23,wiki_ext,16807
2015-11-24,wiki_ext,18415
2015-11-25,wiki_ext,43789
2015-11-26,wiki_ext,23743
2015-11-27,wiki_ext,14354
2015-11-28,wiki_ext,16377
2015-11-29,wiki_ext,16461
2015-11-30,wiki_ext,26879
2015-12-01,wiki_ext,28941
2015-12-02,wiki_ext,31187
2015-12-03,wiki_ext,20890
2015-12-04,wiki_ext,17173
2015-12-05,wiki_ext,12600
2015-12-06,wiki_ext,12941
2015-12-07,wiki_ext,18177
2015-12-08,wiki_ext,15711
2015-12-09,wiki_ext,18299
2015-12-10,wiki_ext,17290
2015-12-11,wiki_ext,15110
2015-12-12,wiki_ext,11141
2015-12-13,wiki_ext,10222
2015-12-14,wiki_ext,15946
2015-12-15,wiki_ext,20434
2015-12-16,wiki_ext,52730
2015-12-17,wiki_ext,53853
2015-12-18,wiki_ext,15452
2015-12-19,wiki_ext,9420
2015-12-20,wiki_ext,8960
2015-12-21,wiki_ext,11407
2015-12-22,wiki_ext,53913
2015-12-23,wiki_ext,53541
2015-12-24,wiki_ext,27902
2015-12-25,wiki_ext,13091
2015-12-26,wiki_ext,11526
2015-12-27,wiki_ext,14661
2015-12-28,wiki_ext,62153
2015-12-29,wiki_ext,117398
2015-12-30,wiki_ext,89575
2015-12-31,wiki_ext,56737
2016-01-01,wiki_ext,27958
2016-01-02,wiki_ext,29515
2016-01-03,wiki_ext,27822
2016-01-04,wiki_ext,23760
2016-01-05,wiki_ext,22865
2016-01-06,wiki_ext,23439
2016-01-07,wiki_ext,37075
2016-01-08,wiki_ext,27398
2016-01-09,wiki_ext,16082
2016-01-10,wiki_ext,16981
2016-01-11,wiki_ext,19657
2016-01-12,wiki_ext,15286
2016-01-13,wiki_ext,13484
2016-01-14,wiki_ext,12049
2016-01-15,wiki_ext,11192
2016-01-16,wiki_ext,8681
2016-01-17,wiki_ext,8993
2016-01-18,wiki_ext,19356
2016-01-19,wiki_ext,17400
2016-01-20,wiki_ext,16996
2016-01-21,wiki_ext,15452
2016-01-22,wiki_ext,12712
2016-01-23,wiki_ext,10021
2016-01-24,wiki_ext,11035
2016-01-25,wiki_ext,18588
2016-01-26,wiki_ext,14261
2016-01-27,wiki_ext,13655
2016-01-28,wiki_ext,13748
2016-01-29,wiki_ext,12588
2016-01-30,wiki_ext,12216
2016-01-31,wiki_ext,10625
2016-02-01,wiki_ext,12006
2016-02-02,wiki_ext,12356
2016-02-03,wiki_ext,12138
2016-02-04,wiki_ext,12182
2016-02-05,wiki_ext,10090
2016-02-06,wiki_ext,8339
2016-02-07,wiki_ext,15482
2016-02-08,wiki_ext,19368
2016-02-09,wiki_ext,17949
2016-02-10,wiki_ext,17951
2016-02-11,wiki_ext,29217
2016-02-12,wiki_ext,68172
2016-02-13,wiki_ext,33312
2016-02-14,wiki_ext,21458
2016-02-15,wiki_ext,18331
2016-02-16,wiki_ext,19996
2016-02-17,wiki_ext,21958
2016-02-18,wiki_ext,20108
2016-02-19,wiki_ext,19388
2016-02-20,wiki_ext,21085
2016-02-21,wiki_ext,31560
2016-02-22,wiki_ext,24571
2016-02-23,wiki_ext,24212
2016-02-24,wiki_ext,23702
2016-02-25,wiki_ext,24520
2016-02-26,wiki_ext,19567
2016-02-27,wiki_ext,14444
2016-02-28,wiki_ext,14187
2016-02-29,wiki_ext,16531
2016-03-01,wiki_ext,17190
2016-03-02,wiki_ext,15563
2016-03-03,wiki_ext,20052
2016-03-04,wiki_ext,15298
2016-03-05,wiki_ext,10002
2016-03-06,wiki_ext,10759
2016-03-07,wiki_ext,14796
2016-03-08,wiki_ext,15183
2016-03-09,wiki_ext,14494
2016-03-10,wiki_ext,13065
2016-03-11,wiki_ext,11098
2016-03-12,wiki_ext,9714
2016-03-13,wiki_ext,10611
2016-03-14,wiki_ext,14100
2016-03-15,wiki_ext,13312
2016-03-16,wiki_ext,14817
2016-03-17,wiki_ext,13290
2016-03-18,wiki_ext,10490
2016-03-19,wiki_ext,8478
2016-03-20,wiki_ext,10325
2016-03-21,wiki_ext,11680
2016-03-22,wiki_ext,11933
2016-03-23,wiki_ext,12251
2016-03-24,wiki_ext,12339
2016-03-25,wiki_ext,10127
2016-03-26,wiki_ext,9292
2016-03-27,wiki_ext,9532
2016-03-28,wiki_ext,12333
2016-03-29,wiki_ext,11725
2016-03-30,wiki_ext,21362
2016-03-31,wiki_ext,19263
2016-04-01,wiki_ext,12402
2016-04-02,wiki_ext,8634
2016-04-03,wiki_ext,8490
2016-04-04,wiki_ext,11181
2016-04-05,wiki_ext,12074
2016-04-06,wiki_ext,11955
2016-04-07,wiki_ext,12016
2016-04-08,wiki_ext,11308
2016-04-09,wiki_ext,8415
2016-04-10,wiki_ext,9603
2016-04-11,wiki_ext,12984
2016-04-12,wiki_ext,15490
2016-04-13,wiki_ext,14695
2016-04-14,wiki_ext,15032
2016-04-15,wiki_ext,12374
2016-04-16,wiki_ext,8591
2016-04-17,wiki_ext,10044
2016-04-18,wiki_ext,14009
2016-04-19,wiki_ext,21564
2016-04-20,wiki_ext,19334
2016-04-21,wiki_ext,16729
2016-04-22,wiki_ext,13472
2016-04-23,wiki_ext,9383
2016-04-24,wiki_ext,12452
2016-04-25,wiki_ext,30466
2016-04-26,wiki_ext,24996
2016-04-27,wiki_ext,17356
2016-04-28,wiki_ext,17302
2016-04-29,wiki_ext,15322
2016-04-30,wiki_ext,11334
2016-05-01,wiki_ext,10589
2016-05-02,wiki_ext,12035
