date,component,value
2015-07-01,wiki_ext,9486
2015-07-02,wiki_ext,9625
2015-07-03,wiki_ext,8025
2015-07-04,wiki_ext,6551
2015-07-05,wiki_ext,8319
2015-07-06,wiki_ext,7632
2015-07-07,wiki_ext,7285
2015-07-08,wiki_ext,8666
2015-07-09,wiki_ext,9647
2015-07-10,wiki_ext,8496
2015-07-11,wiki_ext,8132
2015-07-12,wiki_ext,7870
2015-07-13,wiki_ext,17263
2015-07-14,wiki_ext,25307
2015-07-15,wiki_ext,12811
2015-07-16,wiki_ext,9449
2015-07-17,wiki_ext,15135
2015-07-18,wiki_ext,12831
2015-07-19,wiki_ext,10241
2015-07-20,wiki_ext,9649
2015-07-21,wiki_ext,12525
2015-07-22,wiki_ext,70674
2015-07-23,wiki_ext,154464
2015-07-24,wiki_ext,264477
2015-07-25,wiki_ext,127215
2015-07-26,wiki_ext,127960
2015-07-27,wiki_ext,120306
2015-07-28,wiki_ext,103377
2015-07-29,wiki_ext,102657
2015-07-30,wiki_ext,76254
2015-07-31,wiki_ext,45577
2015-08-01,wiki_ext,32305
2015-08-02,wiki_ext,24798
2015-08-03,wiki_ext,25711
2015-08-04,wiki_ext,34374
2015-08-05,wiki_ext,23360
2015-08-06,wiki_ext,20502
2015-08-07,wiki_ext,18833
2015-08-08,wiki_ext,21326
2015-08-09,wiki_ext,52825
2015-08-10,wiki_ext,72008
2015-08-11,wiki_ext,54123
2015-08-12,wiki_ext,31805
2015-08-13,wiki_ext,23113
2015-08-14,wiki_ext,30736
2015-08-15,wiki_ext,17512
2015-08-16,wiki_ext,16990
2015-08-17,wiki_ext,18762
2015-08-18,wiki_ext,18787
2015-08-19,wiki_ext,17835
2015-08-20,wiki_ext,16500
2015-08-21,wiki_ext,13537
2015-08-22,wiki_ext,12862
2015-08-23,wiki_ext,23977
2015-08-24,wiki_ext,23457
2015-08-25,wiki_ext,17535
2015-08-26,wiki_ext,17210
2015-08-27,wiki_ext,18801
2015-08-28,wiki_ext,15112
2015-08-29,wiki_ext,13687
2015-08-30,wiki_ext,15192
2015-08-31,wiki_ext,16961
2015-09-01,wiki_ext,18564
2015-09-02,wiki_ext,29028
2015-09-03,wiki_ext,21980
2015-09-04,wiki_ext,14041
2015-09-05,wiki_ext,10597
2015-09-06,wiki_ext,10188
2015-09-07,wiki_ext,11118
2015-09-08,wiki_ext,28328
2015-09-09,wiki_ext,27296
2015-09-10,wiki_ext,23013
2015-09-11,wiki_ext,23807
2015-09-12,wiki_ext,11029
2015-09-13,wiki_ext,10920
2015-09-14,wiki_ext,12635
2015-09-15,wiki_ext,14310
2015-09-16,wiki_ext,12371
2015-09-17,wiki_ext,11731
2015-09-18,wiki_ext,10866
2015-09-19,wiki_ext,7648
2015-09-20,wiki_ext,9036
2015-09-21,wiki_ext,11900
2015-09-22,wiki_ext,10558
2015-09-23,wiki_ext,10816
2015-09-24,wiki_ext,10305
2015-09-25,wiki_ext,8818
2015-09-26,wiki_ext,7353
2015-09-27,wiki_ext,7886
2015-09-28,wiki_ext,10644
2015-09-29,wiki_ext,15341
2015-09-30,wiki_ext,12893
2015-10-01,wiki_ext,11117
2015-10-02,wiki_ext,9462
2015-10-03,wiki_ext,7480
2015-10-04,wiki_ext,9046
2015-10-05,wiki_ext,10530
2015-10-06,wiki_ext,10599
2015-10-07,wiki_ext,10184
2015-10-08,wiki_ext,11227
2015-10-09,wiki_ext,16726
2015-10-10,wiki_ext,9083
2015-10-11,wiki_ext,20397
2015-10-12,wiki_ext,19278
2015-10-13,wiki_ext,14841
2015-10-14,wiki_ext,16443
2015-10-15,wiki_ext,15653
2015-10-16,wiki_ext,26219
2015-10-17,wiki_ext,11880
2015-10-18,wiki_ext,10028
2015-10-19,wiki_ext,11815
2015-10-20,wiki_ext,11071
2015-10-21,wiki_ext,12316
2015-10-22,wiki_ext,11814
2015-10-23,wiki_ext,13046
2015-10-24,wiki_ext,10418
2015-10-25,wiki_ext,8648
2015-10-26,wiki_ext,11659
2015-10-27,wiki_ext,15908
2015-10-28,wiki_ext,19049
2015-10-29,wiki_ext,16287
2015-10-30,wiki_ext,13350
2015-10-31,wiki_ext,8153
2015-11-01,wiki_ext,9164
2015-11-02,wiki_ext,11834
2015-11-03,wiki_ext,12340
2015-11-04,wiki_ext,12865
2015-11-05,wiki_ext,12968
2015-11-06,wiki_ext,10461
2015-11-07,wiki_ext,11717
2015-11-08,wiki_ext,11473
2015-11-09,wiki_ext,16935
2015-11-10,wiki_ext,13854
2015-11-11,wiki_ext,15197
2015-11-12,wiki_ext,13908
2015-11-13,wiki_ext,11975
2015-11-14,wiki_ext,8336
2015-11-15,wiki_ext,10154
2015-11-16,wiki_ext,13238
2015-11-17,wiki_ext,14126
2015-11-18,wiki_ext,13454
2015-11-19,wiki_ext,12865
2015-11-20,wiki_ext,11612
2015-11-21,wiki_ext,10045
2015-11-22,wiki_ext,11756
2015-11-23,wiki_ext,16484
2015-11-24,wiki_ext,18163
2015-11-25,wiki_ext,43643
2015-11-26,wiki_ext,23611
2015-11-27,wiki_ext,14249
2015-11-28,wiki_ext,16261
2015-11-29,wiki_ext,16377
2015-11-30,wiki_ext,26749
2015-12-01,wiki_ext,28774
2015-12-02,wiki_ext,31060
2015-12-03,wiki_ext,20757
2015-12-04,wiki_ext,17056
2015-12-05,wiki_ext,12540
2015-12-06,wiki_ext,12868
2015-12-07,wiki_ext,18055
2015-12-08,wiki_ext,15603
2015-12-09,wiki_ext,18176
2015-12-10,wiki_ext,17197
2015-12-11,wiki_ext,15028
2015-12-12,wiki_ext,11098
2015-12-13,wiki_ext,10156
2015-12-14,wiki_ext,15873
2015-12-15,wiki_ext,20348
2015-12-16,wiki_ext,52629
2015-12-17,wiki_ext,53757
2015-12-18,wiki_ext,15369
2015-12-19,wiki_ext,9378
2015-12-20,wiki_ext,8920
2015-12-21,wiki_ext,11344
2015-12-22,wiki_ext,53789
2015-12-23,wiki_ext,53447
2015-12-24,wiki_ext,27850
2015-12-25,wiki_ext,13020
2015-12-26,wiki_ext,11469
2015-12-27,wiki_ext,14573
2015-12-28,wiki_ext,62074
2015-12-29,wiki_ext,117305
2015-12-30,wiki_ext,89475
2015-12-31,wiki_ext,56595
2016-01-01,wiki_ext,27844
2016-01-02,wiki_ext,29401
2016-01-03,wiki_ext,27723
2016-01-04,wiki_ext,23675
2016-01-05,wiki_ext,22777
2016-01-06,wiki_ext,23322
2016-01-07,wiki_ext,36991
2016-01-08,wiki_ext,27310
2016-01-09,wiki_ext,15988
2016-01-10,wiki_ext,16877
2016-01-11,wiki_ext,19601
2016-01-12,wiki_ext,15185
2016-01-13,wiki_ext,13416
2016-01-14,wiki_ext,11950
2016-01-15,wiki_ext,11134
2016-01-16,wiki_ext,8620
2016-01-17,wiki_ext,8941
2016-01-18,wiki_ext,19275
2016-01-19,wiki_ext,17329
2016-01-20,wiki_ext,16929
2016-01-21,wiki_ext,15368
2016-01-22,wiki_ext,12639
2016-01-23,wiki_ext,9951
2016-01-24,wiki_ext,10980
2016-01-25,wiki_ext,18467
2016-01-26,wiki_ext,14136
2016-01-27,wiki_ext,13583
2016-01-28,wiki_ext,13677
2016-01-29,wiki_ext,12519
2016-01-30,wiki_ext,12154
2016-01-31,wiki_ext,10556
2016-02-01,wiki_ext,11924
2016-02-02,wiki_ext,12281
2016-02-03,wiki_ext,11998
2016-02-04,wiki_ext,12077
2016-02-05,wiki_ext,10032
2016-02-06,wiki_ext,8293
2016-02-07,wiki_ext,15422
2016-02-08,wiki_ext,19300
2016-02-09,wiki_ext,17871
2016-02-10,wiki_ext,17874
2016-02-11,wiki_ext,29128
2016-02-12,wiki_ext,68071
2016-02-13,wiki_ext,33248
2016-02-14,wiki_ext,21392
2016-02-15,wiki_ext,18250
2016-02-16,wiki_ext,19890
2016-02-17,wiki_ext,21836
2016-02-18,wiki_ext,20029
2016-02-19,wiki_ext,18705
2016-02-20,wiki_ext,20780
2016-02-21,wiki_ext,31449
2016-02-22,wiki_ext,24432
2016-02-23,wiki_ext,24086
2016-02-24,wiki_ext,23613
2016-02-25,wiki_ext,24425
2016-02-26,wiki_ext,19457
2016-02-27,wiki_ext,14384
2016-02-28,wiki_ext,14098
2016-02-29,wiki_ext,16413
2016-03-01,wiki_ext,15360
2016-03-02,wiki_ext,14698
2016-03-03,wiki_ext,19755
2016-03-04,wiki_ext,15137
2016-03-05,wiki_ext,9912
2016-03-06,wiki_ext,10178
2016-03-07,wiki_ext,14669
2016-03-08,wiki_ext,15095
2016-03-09,wiki_ext,14364
2016-03-10,wiki_ext,12968
2016-03-11,wiki_ext,11013
2016-03-12,wiki_ext,9632
2016-03-13,wiki_ext,10523
2016-03-14,wiki_ext,13993
2016-03-15,wiki_ext,13210
2016-03-16,wiki_ext,14735
2016-03-17,wiki_ext,13211
2016-03-18,wiki_ext,10439
2016-03-19,wiki_ext,8436
2016-03-20,wiki_ext,10260
2016-03-21,wiki_ext,11591
2016-03-22,wiki_ext,11836
2016-03-23,wiki_ext,12177
2016-03-24,wiki_ext,12259
2016-03-25,wiki_ext,10058
2016-03-26,wiki_ext,9235
2016-03-27,wiki_ext,9464
2016-03-28,wiki_ext,12265
2016-03-29,wiki_ext,11550
2016-03-30,wiki_ext,21182
2016-03-31,wiki_ext,19158
2016-04-01,wiki_ext,12296
2016-04-02,wiki_ext,8576
2016-04-03,wiki_ext,8408
2016-04-04,wiki_ext,11087
2016-04-05,wiki_ext,11973
2016-04-06,wiki_ext,11857
2016-04-07,wiki_ext,11947
2016-04-08,wiki_ext,11218
2016-04-09,wiki_ext,8339
2016-04-10,wiki_ext,9527
2016-04-11,wiki_ext,12858
2016-04-12,wiki_ext,15351
2016-04-13,wiki_ext,14594
2016-04-14,wiki_ext,14906
2016-04-15,wiki_ext,12304
2016-04-16,wiki_ext,8533
2016-04-17,wiki_ext,9981
2016-04-18,wiki_ext,13883
2016-04-19,wiki_ext,21478
2016-04-20,wiki_ext,19232
2016-04-21,wiki_ext,16639
2016-04-22,wiki_ext,13404
2016-04-23,wiki_ext,9325
2016-04-24,wiki_ext,12371
2016-04-25,wiki_ext,30331
2016-04-26,wiki_ext,24859
2016-04-27,wiki_ext,17237
2016-04-28,wiki_ext,17196
2016-04-29,wiki_ext,15241
2016-04-30,wiki_ext,11276
2016-05-01,wiki_ext,10535
2016-05-02,wiki_ext,11942
2016-05-03,wiki_ext,11524
2016-05-04,wiki_ext,11681
2016-05-05,wiki_ext,11788
2016-05-06,wiki_ext,9565
2016-05-07,wiki_ext,7824
2016-05-08,wiki_ext,7637
2016-05-09,wiki_ext,11043
2016-05-10,wiki_ext,19628
2016-05-11,wiki_ext,18837
2016-05-12,wiki_ext,17835
2016-05-13,wiki_ext,13984
2016-05-14,wiki_ext,8784
2016-05-15,wiki_ext,9414
2016-05-16,wiki_ext,11088
2016-05-17,wiki_ext,11286
2016-05-18,wiki_ext,11711
2016-05-19,wiki_ext,10963
2016-05-20,wiki_ext,11013
2016-05-21,wiki_ext,8225
2016-05-22,wiki_ext,8566
2016-05-23,wiki_ext,88220
2016-05-24,wiki_ext,43260
2016-05-25,wiki_ext,18708
2016-05-26,wiki_ext,12857
2016-05-27,wiki_ext,10243
2016-05-28,wiki_ext,7100
2016-05-29,wiki_ext,8014
2016-05-30,wiki_ext,8774
2016-05-31,wiki_ext,10640
2016-06-01,wiki_ext,14945
2016-06-02,wiki_ext,13609
2016-06-03,wiki_ext,11153
2016-06-04,wiki_ext,8396
2016-06-05,wiki_ext,9154
2016-06-06,wiki_ext,12327
2016-06-07,wiki_ext,11699
2016-06-08,wiki_ext,10035
2016-06-09,wiki_ext,11548
2016-06-10,wiki_ext,9566
2016-06-11,wiki_ext,6985
2016-06-12,wiki_ext,7848
2016-06-13,wiki_ext,7867
2016-06-14,wiki_ext,9215
2016-06-15,wiki_ext,9440
2016-06-16,wiki_ext,8653
2016-06-17,wiki_ext,7159
2016-06-18,wiki_ext,7359
2016-06-19,wiki_ext,9413
2016-06-20,wiki_ext,11498
2016-06-21,wiki_ext,17285
2016-06-22,wiki_ext,11644
2016-06-23,wiki_ext,47706
2016-06-24,wiki_ext,29072
2016-06-25,wiki_ext,17894
2016-06-26,wiki_ext,16823
2016-06-27,wiki_ext,43808
2016-06-28,wiki_ext,33444
2016-06-29,wiki_ext,19116
2016-06-30,wiki_ext,16107
2016-07-01,wiki_ext,15218
2016-07-02,wiki_ext,12502
2016-07-03,wiki_ext,10513
2016-07-04,wiki_ext,10514
2016-07-05,wiki_ext,14883
2016-07-06,wiki_ext,90721
2016-07-07,wiki_ext,241227
2016-07-08,wiki_ext,327246
2016-07-09,wiki_ext,190626
2016-07-10,wiki_ext,132587
2016-07-11,wiki_ext,122754
2016-07-12,wiki_ext,101907
2016-07-13,wiki_ext,108804
2016-07-14,wiki_ext,107971
2016-07-15,wiki_ext,69946
2016-07-16,wiki_ext,42250
2016-07-17,wiki_ext,67529
2016-07-18,wiki_ext,119232
2016-07-19,wiki_ext,66182
2016-07-20,wiki_ext,43556
2016-07-21,wiki_ext,43721
2016-07-22,wiki_ext,36364
2016-07-23,wiki_ext,25913
2016-07-24,wiki_ext,26778
2016-07-25,wiki_ext,23739
2016-07-26,wiki_ext,28400
2016-07-27,wiki_ext,130311
2016-07-28,wiki_ext,52314
