component,boundary,scale,n_positive,span_days,r2
trends_us,2015-05-01,0.3989,60,60,0.9938
trends_us,2015-08-29,1.0413,60,60,0.9967
trends_us,2015-12-27,0.1455,60,60,0.9809
trends_us,2016-04-25,6.2432,48,60,-0.4431
trends_us,2016-08-23,0.9863,60,60,0.987
trends_us,2016-12-21,0.1075,60,60,0.9659
trends_us,2017-04-20,0.2384,60,60,0.9979
trends_us,2017-08-18,0.2384,60,60,1.0
trends_us,2017-12-16,0.1811,60,60,0.9989
trends_us,2018-04-15,0.4525,60,60,0.9955
trends_us,2018-08-13,0.7286,60,60,0.9979
trends_us,2018-12-11,0.7286,60,60,1.0
trends_us,2019-04-10,0.2732,60,60,0.9764
trends_us,2019-08-08,0.3084,60,60,0.9978
trends_us,2019-12-06,1.4074,60,60,0.9564
trends_us,2020-04-04,1.4074,60,60,1.0
trends_us,2020-08-02,0.6884,60,60,0.998
trends_us,2020-11-30,1.2894,60,60,0.9814
trends_us,2021-03-30,1.2894,60,60,1.0
trends_us,2021-07-28,0.2081,60,60,0.9832
trends_us,2021-11-25,0.2001,60,60,0.9949
trends_us,2022-03-25,0.2557,60,60,0.997
trends_us,2022-07-23,0.2686,60,60,0.9761
trends_us,2022-11-20,0.2797,60,60,0.9796
trends_us,2023-03-20,0.2611,60,60,0.9978
trends_us,2023-07-18,0.0948,60,60,0.9937
trends_us,2023-11-15,0.2023,60,60,0.9968
trends_us,2024-03-14,0.1444,60,60,0.9988
trends_us,2024-07-12,0.1444,60,60,1.0
trends_nyc,2015-05-01,0.3679,47,59,0.9986
trends_nyc,2015-08-29,0.8931,34,60,0.9992
trends_nyc,2015-12-27,0.1847,36,60,0.9946
trends_nyc,2016-04-25,5.3488,31,60,0.8636
trends_nyc,2016-08-23,0.9032,51,60,0.9973
trends_nyc,2016-12-21,0.1231,36,59,0.9937
trends_nyc,2017-04-20,0.2614,40,59,0.9998
trends_nyc,2017-08-18,0.219,38,60,0.9998
trends_nyc,2017-12-16,0.3112,27,60,0.9988
trends_nyc,2018-04-15,0.3396,48,60,0.9988
trends_nyc,2018-08-13,0.4596,36,60,0.9996
trends_nyc,2018-12-11,0.4596,33,60,1.0
trends_nyc,2019-04-10,0.2327,46,58,0.9972
trends_nyc,2019-08-08,0.2324,30,60,0.9999
trends_nyc,2019-12-06,1.2381,30,60,0.9961
trends_nyc,2020-04-04,1.2455,38,55,1.0
trends_nyc,2020-08-02,0.7873,60,60,0.9989
trends_nyc,2020-11-30,0.9769,44,60,0.9958
trends_nyc,2021-03-30,0.9756,48,57,0.9999
trends_nyc,2021-07-28,0.6382,13,42,0.9962
trends_nyc,2021-11-25,0.6344,23,60,0.9999
trends_nyc,2022-03-25,0.2649,43,54,0.9973
trends_nyc,2022-07-23,0.5575,22,57,0.9402
trends_nyc,2022-11-20,0.3089,28,59,0.9954
trends_nyc,2023-03-20,0.1791,40,58,0.9992
trends_nyc,2023-07-18,0.1382,14,43,0.9995
trends_nyc,2023-11-15,0.2986,13,50,0.9988
trends_nyc,2024-03-14,0.2989,24,46,0.9998
trends_nyc,2024-07-12,0.1076,18,56,0.9991
