episode,start,end,n_high_days,peak_date,peak_cai_d,candidate_events,drivers,top_driver_share,period
1,2015-07-23,2015-08-04,9,2015-07-30,5.42,Samuel Dubose; Jonathan Sanders,Sandra Bland (83%); Michael Brown (4%); Freddie Gray (3%),0.8263,extension
2,2015-08-31,2015-09-04,2,2015-09-02,4.35,Samuel Dubose; Zachary Hammond,Sandra Bland (26%); Freddie Gray (25%); Michael Brown (21%),0.2631,extension
3,2015-11-24,2015-11-26,2,2015-11-25,6.09,Jamar Clark; Corey Jones,Laquan Mcdonald (41%); Michael Brown (14%); Tamir Rice (9%),0.4113,extension
4,2015-12-28,2015-12-31,2,2015-12-29,3.72,Jamar Clark,Tamir Rice (75%); Sandra Bland (6%); Michael Brown (4%),0.7492,extension
5,2016-02-11,2016-02-13,2,2016-02-12,3.68,Michael Brown; Eric Harris,Eric Garner (30%); Akai Gurley (21%); Tamir Rice (15%),0.3049,extension
6,2016-05-23,2016-05-24,1,2016-05-23,2.84,,Freddie Gray (82%); Michael Brown (5%); Eric Garner (3%),0.823,extension
7,2016-07-06,2016-07-20,15,2016-07-08,12.58,Alton Sterling; Philando Castile,Alton Sterling (25%); Philando Castile (20%); Michael Brown (9%),0.2511,extension
8,2016-09-19,2016-10-03,11,2016-09-22,7.08,Keith Lamont Scott; Terence Crutcher,Keith Lamont Scott (17%); Terence Crutcher (15%); Michael Brown (11%),0.17,extension
9,2016-11-02,2016-11-04,1,2016-11-02,3.58,Keith Lamont Scott; Terence Crutcher,Michael Brown (16%); Alton Sterling (15%); Walter Scott (11%),0.1555,extension
10,2016-11-30,2016-12-02,1,2016-11-30,2.63,Deborah Danner,Keith Lamont Scott (38%); Walter Scott (24%); Michael Brown (10%),0.3776,extension
11,2017-05-01,2017-05-09,3,2017-05-03,3.22,Jordan Edwards,Alton Sterling (30%); Jordan Edwards (15%); Michael Brown (12%),0.3023,discovery
12,2017-05-18,2017-05-18,1,2017-05-18,1.44,Jordan Edwards,Terence Crutcher (56%); Michael Brown (8%); Jordan Edwards (6%),0.5566,discovery
13,2017-06-16,2017-06-30,11,2017-06-21,4.44,Michael Brown; Jordan Edwards,Philando Castile (76%); Michael Brown (5%); Tamir Rice (3%),0.7559,discovery
14,2017-07-17,2017-07-20,3,2017-07-18,2.52,Michael Brown,Philando Castile (25%); Eric Garner (16%); Michael Brown (12%),0.2473,discovery
15,2017-08-19,2017-08-19,1,2017-08-19,1.74,,Michael Brown (28%); Eric Garner (10%); Philando Castile (10%),0.2778,discovery
16,2017-09-23,2017-10-06,8,2017-09-26,3.32,Patrick Harmon,Michael Brown (18%); Tamir Rice (13%); Philando Castile (11%),0.1762,discovery
17,2017-10-16,2017-10-19,1,2017-10-17,1.71,,John Crawford Iii (59%); Michael Brown (8%); Eric Garner (5%),0.5876,discovery
18,2017-12-07,2017-12-15,7,2017-12-09,5.57,,Daniel Shaver (78%); Walter Scott (8%); Michael Brown (3%),0.7771,discovery
19,2017-12-30,2018-01-01,2,2017-12-31,2.49,,Eric Garner (66%); Daniel Shaver (9%); Charles Kinsey (5%),0.6597,discovery
20,2018-02-10,2018-02-19,6,2018-02-17,2.9,,Tamir Rice (37%); Korryn Gaines (18%); Michael Brown (8%),0.3737,discovery
21,2018-03-24,2018-04-05,6,2018-03-31,2.78,,Alton Sterling (41%); Michael Brown (11%); Philando Castile (8%),0.4073,discovery
22,2018-04-24,2018-04-26,1,2018-04-25,1.86,,Michael Brown (19%); Philando Castile (13%); Eric Garner (11%),0.1877,discovery
23,2018-05-21,2018-05-24,1,2018-05-22,1.94,,Michael Brown (23%); Tamir Rice (12%); Eric Garner (11%),0.231,discovery
24,2018-07-15,2018-07-18,3,2018-07-15,2.02,,Eric Garner (22%); Laquan Mcdonald (16%); Michael Brown (13%),0.2195,discovery
25,2018-09-04,2018-09-18,10,2018-09-08,3.46,Vanessa Marquez,Michael Brown (15%); Laquan Mcdonald (13%); Vanessa Marquez (10%),0.1494,discovery
26,2018-10-03,2018-10-08,3,2018-10-05,4.34,Vanessa Marquez,Laquan Mcdonald (75%); Tamir Rice (6%); Michael Brown (4%),0.746,discovery
27,2019-01-29,2019-01-30,2,2019-01-29,3.62,,Michael Brown (20%); Eric Garner (10%); Sandra Bland (9%),0.1966,discovery
28,2019-02-13,2019-02-16,1,2019-02-14,1.44,Willie McCoy,Laquan Mcdonald (46%); Michael Brown (8%); Daniel Shaver (7%),0.46,discovery
29,2019-03-23,2019-03-30,3,2019-03-23,2.37,Willie McCoy,Antwon Rose Jr. (31%); Charles Kinsey (26%); Daniel Shaver (7%),0.306,discovery
30,2019-04-19,2019-04-19,1,2019-04-19,1.32,,Charles Kinsey (35%); Daniel Shaver (23%); Freddie Gray (15%),0.3522,discovery
31,2019-05-07,2019-05-10,3,2019-05-07,2.75,,Sandra Bland (75%); Michael Brown (5%); Philando Castile (4%),0.7531,discovery
32,2019-06-15,2019-06-20,2,2019-06-17,1.44,,Laquan Mcdonald (19%); Michael Brown (10%); Daniel Shaver (9%),0.1866,discovery
33,2019-07-16,2019-07-18,2,2019-07-17,1.4,,Eric Garner (75%); Michael Brown (4%); Daniel Shaver (3%),0.7503,discovery
34,2019-08-01,2019-08-07,3,2019-08-04,2.88,,Eric Garner (52%); John Crawford Iii (12%); Michael Brown (7%),0.5191,discovery
35,2019-10-13,2019-10-17,4,2019-10-14,3.16,Atatiana Jefferson,Atatiana Jefferson (17%); Michael Brown (13%); Eric Garner (8%),0.1718,discovery
36,2019-12-04,2019-12-12,1,2019-12-11,1.17,Atatiana Jefferson,Michael Brown (15%); Antwon Rose Jr. (13%); Eric Garner (9%),0.152,discovery
37,2020-05-26,2020-06-09,14,2020-05-31,12.47,George Floyd; David McAtee,George Floyd (55%); Breonna Taylor (13%); Eric Garner (6%),0.5489,discovery
38,2020-08-24,2020-09-07,6,2020-08-27,9.02,,Jacob Blake (47%); Breonna Taylor (16%); George Floyd (11%),0.4667,discovery
39,2020-09-22,2020-09-27,1,2020-09-24,8.38,Dijon Kizzee,Breonna Taylor (87%); George Floyd (3%),0.8694,discovery
40,2021-01-05,2021-01-14,5,2021-01-07,4.4,Dolal Idd,Jacob Blake (33%); George Floyd (23%); Breonna Taylor (12%),0.326,extension
41,2021-03-12,2021-03-18,2,2021-03-14,3.13,,George Floyd (40%); Breonna Taylor (32%); Tamir Rice (3%),0.4038,extension
