stratum,item,value,rule,detail,data_source
family,family_size,8,note §10,2 outcomes x 2 arms x 2 strata,REAL
family,family_rejections_bh,0,23.1,cells with BH-adjusted p < 0.05,REAL
C1_clean,null_certified,1,addendum 25,,REAL
C1_clean,p_randomization:edp_share:share,0.0114942528735632,note §7,OK,REAL
C1_clean,p_bh_adjusted:edp_share:share,0.0559720139930035,"note §10; 23.1 (m = 8, q = 0.05)",,REAL
C1_clean,p_asymptotic:edp_share:share,0.0013694402281865,"note §7 (beside, never instead)",,REAL
C1_clean,first_week_mean_coef:edp_share:share,-0.0005865764133764,note §6; 23.2,,REAL
C1_clean,first_week_mean_se:edp_share:share,0.0013561674815364,23.2,,REAL
C1_clean,rejects_bh:edp_share:share,0,23.1,BH-adjusted randomization p below 0.05,REAL
C1_clean,p_randomization:edp_share:count,0.0139930034982508,note §7,OK,REAL
C1_clean,p_bh_adjusted:edp_share:count,0.0559720139930035,"note §10; 23.1 (m = 8, q = 0.05)",,REAL
C1_clean,p_asymptotic:edp_share:count,0.0010045422969883,"note §7 (beside, never instead)",,REAL
C1_clean,first_week_mean_coef:edp_share:count,0.0094545462098291,note §6; 23.2,,REAL
C1_clean,first_week_mean_se:edp_share:count,0.0162313791970115,23.2,,REAL
C1_clean,rejects_bh:edp_share:count,0,23.1,BH-adjusted randomization p below 0.05,REAL
C1_clean,rejects_on_outcome:edp_share,0,23.1,no arm rejects,REAL
C1_clean,p_randomization:mh_narrow_share:share,0.0284857571214392,note §7,OK,REAL
C1_clean,p_bh_adjusted:mh_narrow_share:share,0.0759620189905047,"note §10; 23.1 (m = 8, q = 0.05)",,REAL
C1_clean,p_asymptotic:mh_narrow_share:share,0.0039687406694005,"note §7 (beside, never instead)",,REAL
C1_clean,first_week_mean_coef:mh_narrow_share:share,-0.0007357472595112,note §6; 23.2,,REAL
C1_clean,first_week_mean_se:mh_narrow_share:share,0.0015729097135186,23.2,,REAL
C1_clean,rejects_bh:mh_narrow_share:share,0,23.1,BH-adjusted randomization p below 0.05,REAL
C1_clean,p_randomization:mh_narrow_share:count,0.089455272363818,note §7,OK,REAL
C1_clean,p_bh_adjusted:mh_narrow_share:count,0.1789105447276361,"note §10; 23.1 (m = 8, q = 0.05)",,REAL
C1_clean,p_asymptotic:mh_narrow_share:count,0.0291430118389631,"note §7 (beside, never instead)",,REAL
C1_clean,first_week_mean_coef:mh_narrow_share:count,-0.0001297262845193,note §6; 23.2,,REAL
C1_clean,first_week_mean_se:mh_narrow_share:count,0.0142000502139828,23.2,,REAL
C1_clean,rejects_bh:mh_narrow_share:count,0,23.1,BH-adjusted randomization p below 0.05,REAL
C1_clean,rejects_on_outcome:mh_narrow_share,0,23.1,no arm rejects,REAL
C1_clean,placebo_rejects_any,0,23.4,no cardiac or asthma cell at p <= 0.05 (4 of 4 override cells with a p-value),REAL
C1_clean,placebo_cells_unavailable,0,23.4,every override cell carries a p-value,REAL
C1_clean,falsification_reported_only:injury_share:OLS_share,0.3453273363318341,23.4,"injury is reported, not an override outcome: the discovery decomposition found it responds to attention episodes (protest injuries)",REAL
C1_clean,falsification_reported_only:injury:PPML_count_offset,0.3713143428285857,23.4,"injury is reported, not an override outcome: the discovery decomposition found it responds to attention episodes (protest injuries)",REAL
C1_clean,stratum_rejects,0,"23.1, 23.3a",no primary outcome rejects on both arms,REAL
C1_clean,mde_level_prefreeze,0.011559431591216142,19.2,UNDERPOWERED; worst-profile MDE at nominal alpha,REAL
C1_clean,mde_dip_rebound_prefreeze,0.003819450834723877,19.2,best-profile MDE at nominal alpha,REAL
C1_clean,mde_level_family_corrected,0.014796072436756662,23.11,nominal-level MDE x 1.28 at the Bonferroni bound,REAL
C1_clean,bounded_null,1,19.2,"no effect detected at the family level (smallest unadjusted randomization p among the stratum's primary cells 0.0115); a sustained level shift at or above the pre-freeze MDE 0.01156 in absolute value (about 0.01480 under the approximate one-parameter family correction of 23.11) is disfavoured at 80% power; a sustained shift of the minimum effect of interest (−0.005) is not excluded; a transient dip-and-rebound of the minimum effect of interest is disfavoured (its pre-freeze MDE is 0.00382, at or below 0.005 in absolute value)",REAL
C1_clean,reading_9_4_input,does not reject,"23.1–23.4, 19.2, 25",,REAL
C1_clean,rejected_outcomes,,23.1b,outcomes on which the stratum rejects cleanly; 9.4 row 1 needs a common outcome across strata,REAL
C1_clean,sensitivity_p:sens_broad_basket:edp_share:OLS_share,,9.5,IDENTICAL_TO_PRIMARY: same episode starts in this stratum,REAL
C1_clean,sensitivity_p:sens_broad_basket:mh_narrow_share:OLS_share,,9.5,IDENTICAL_TO_PRIMARY: same episode starts in this stratum,REAL
C1_clean,sensitivity_p:sens_spliced_wiki:edp_share:OLS_share,,9.5,IDENTICAL_TO_PRIMARY: same episode starts in this stratum,REAL
C1_clean,sensitivity_p:sens_spliced_wiki:mh_narrow_share:OLS_share,,9.5,IDENTICAL_TO_PRIMARY: same episode starts in this stratum,REAL
C1_clean,sensitivity_p:sens_no_edpm:edp_ex_edpm_share:OLS_share,,9.5,IDENTICAL_TO_PRIMARY: no EDPM dispatch in this stratum,REAL
C1_clean,sensitivity_p:sens_no_edpm:edp_ex_edpm:PPML_count_offset,,9.5,IDENTICAL_TO_PRIMARY: no EDPM dispatch in this stratum,REAL
C1_clean,sensitivity_p:sens_post28:edp_share:OLS_share,0.0069965017491254,9.5,OK; n_episodes 15,REAL
C1_clean,sensitivity_p:sens_post28:edp:PPML_count_offset,0.016991504247876,9.5,OK; n_episodes 15,REAL
C1_clean,sensitivity_p:sens_post28:mh_narrow_share:OLS_share,0.0459770114942528,9.5,OK; n_episodes 15,REAL
C1_clean,sensitivity_p:sens_post28:mh_narrow:PPML_count_offset,0.176911544227886,9.5,OK; n_episodes 15,REAL
C1_clean,sensitivity_p:sens_post60:edp_share:OLS_share,0.0189905047476261,9.5,OK; n_episodes 15,REAL
C1_clean,sensitivity_p:sens_post60:edp:PPML_count_offset,0.031984007996002,9.5,OK; n_episodes 15,REAL
C1_clean,sensitivity_p:sens_post60:mh_narrow_share:OLS_share,0.0624687656171914,9.5,OK; n_episodes 15,REAL
C1_clean,sensitivity_p:sens_post60:mh_narrow:PPML_count_offset,0.2158920539730135,9.5,OK; n_episodes 15,REAL
C1_clean,sensitivity_p:sens_drop_jul2016:edp_share:OLS_share,0.0089955022488755,9.5,OK; n_episodes 14,REAL
C1_clean,sensitivity_p:sens_drop_jul2016:edp:PPML_count_offset,0.0059970014992503,9.5,OK; n_episodes 14,REAL
C1_clean,sensitivity_p:sens_drop_jul2016:mh_narrow_share:OLS_share,0.0324837581209395,9.5,OK; n_episodes 14,REAL
