stratum,outcome,estimator,spec,family,bheard_bound,episode_set,n_episodes,n_districts,post_window,draw_post_window,first_week_chi2,first_week_mean_coef,first_week_mean_se,path_coefs,path_ses,n_first_week_coefs,p_randomization,p_asymptotic,p_bh_adjusted,ri_scheme,ri_exact,n_draws,n_admissible_starts,null_sd,n_obs,status,note,data_source,null_certified,draws_requested,draws_prespecified,calibration_sims,calibration_scheme,freeze_active_at_run,overwrite_reason
C1_clean,edp_share,OLS_share_dose_per_sd,dose_response,secondary,early,primary,15,59.0,14,14,,0.0013094502622272854,0.0006043673464148347,,,,,0.030865247629932258,,,,0,,,23128.0,OK,"effect per SD of peak episode intensity; secondary, asymptotic p only (addendum 9)",REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C1_clean,mh_narrow_share,OLS_share_dose_per_sd,dose_response,secondary,early,primary,15,59.0,14,14,,0.0015083924651767963,0.000638641163824479,,,,,0.01867199552315202,,,,0,,,23128.0,OK,"effect per SD of peak episode intensity; secondary, asymptotic p only (addendum 9)",REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C1_clean,edp_share,OLS_share,sens_broad_basket,sensitivity,early,confirmation_episodes_rebuilt_broad.csv,15,,14,14,,,,,,,,,,,,0,,,,IDENTICAL_TO_PRIMARY: same episode starts in this stratum,broad basket: +9 civilian-actor articles,REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C1_clean,mh_narrow_share,OLS_share,sens_broad_basket,sensitivity,early,confirmation_episodes_rebuilt_broad.csv,15,,14,14,,,,,,,,,,,,0,,,,IDENTICAL_TO_PRIMARY: same episode starts in this stratum,broad basket: +9 civilian-actor articles,REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C1_clean,edp_share,OLS_share,sens_spliced_wiki,sensitivity,early,confirmation_episodes_rebuilt_spliced.csv,15,,14,14,,,,,,,,,,,,0,,,,IDENTICAL_TO_PRIMARY: same episode starts in this stratum,user+automated Wikipedia series (addendum 20),REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C1_clean,mh_narrow_share,OLS_share,sens_spliced_wiki,sensitivity,early,confirmation_episodes_rebuilt_spliced.csv,15,,14,14,,,,,,,,,,,,0,,,,IDENTICAL_TO_PRIMARY: same episode starts in this stratum,user+automated Wikipedia series (addendum 20),REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C1_clean,edp_ex_edpm_share,OLS_share,sens_no_edpm,sensitivity,early,primary,15,,14,14,,,,,,,,,,,,0,,,,IDENTICAL_TO_PRIMARY: no EDPM dispatch in this stratum,,REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C1_clean,edp_ex_edpm,PPML_count_offset,sens_no_edpm,sensitivity,early,primary,15,,14,14,,,,,,,,,,,,0,,,,IDENTICAL_TO_PRIMARY: no EDPM dispatch in this stratum,,REAL,True,2000,2000,1000,circular_within_block_fw7,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C2_exposed,edp_share,OLS_share_dose_per_sd,dose_response,secondary,early,primary,30,59.0,14,14,,0.0006479891053784224,0.0005525057283394901,,,,,0.24123497544068329,,,,0,,,45017.0,OK,"effect per SD of peak episode intensity; secondary, asymptotic p only (addendum 9)",REAL,True,2000,2000,1000,anchor_shift,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
C2_exposed,mh_narrow_share,OLS_share_dose_per_sd,dose_response,secondary,early,primary,30,59.0,14,14,,0.000741557463865366,0.0005551098221388438,,,,,0.18198888766248178,,,,0,,,45017.0,OK,"effect per SD of peak episode intensity; secondary, asymptotic p only (addendum 9)",REAL,True,2000,2000,1000,anchor_shift,0,resume with 2 workers after a second out-of-memory kill of the process pool at 20:17:13Z (a worker reached 4.96 GB on the pooled stratum's 60-day cells under 3 workers); the automatic 3-worker retry (start row 6) was stopped by hand at 20:19Z; parallelism changes no number (every cell is seeded from its own identity); no sealed result existed; cells resume from their ledgers
