final_call_type,first_date,last_date
ABDPFC,2014-12-02,2024-07-13
ABDPFT,2015-06-20,2023-01-16
ABDPN,2014-12-01,2024-12-31
ABDPRF,2022-06-08,2023-03-30
ACTIVE,2016-10-01,2024-12-07
ALTMEN,2014-12-01,2024-12-31
ALTMFC,2014-12-24,2024-03-30
ALTMFT,2021-03-10,2022-12-24
ALTMRF,2022-06-08,2023-03-29
AMPMAJ,2014-12-02,2024-12-29
AMPMIN,2014-12-01,2024-12-27
ANAPFC,2014-12-01,2024-09-09
ANAPFT,2023-01-17,2023-01-17
ANAPH,2014-12-01,2024-12-31
ANAPRF,2021-04-19,2023-03-30
ARREFC,2015-03-17,2024-04-24
ARREFT,2022-11-21,2022-12-03
ARRERF,2022-06-08,2023-03-08
ARREST,2014-12-01,2024-12-31
ASTHFC,2014-12-01,2024-12-19
ASTHFT,2021-12-19,2023-05-21
ASTHMB,2014-12-01,2024-12-31
ASTHRF,2022-06-29,2023-03-18
BURNHM,2024-04-15,2024-12-31
BURNHZ,2024-04-11,2024-12-30
BURNMA,2014-12-01,2024-12-31
BURNMI,2014-12-01,2024-12-31
CARD,2014-12-01,2024-12-31
CARDBR,2017-03-28,2024-12-31
CARDFC,2014-12-28,2024-06-29
CARDFT,2021-01-06,2023-01-14
CARDRF,2022-06-08,2023-03-31
CDBRFC,2020-01-30,2024-07-27
CDBRFT,2022-10-28,2023-10-27
CDBRRF,2022-04-05,2023-03-30
CHILDA,2014-12-03,2024-12-31
CHOKE,2014-12-01,2024-12-31
CHOKFC,2014-12-02,2024-03-17
CHOKRF,2022-06-21,2023-03-16
COLD,2014-12-01,2024-12-31
COVINF,2020-03-24,2020-05-05
CVA,2014-12-01,2024-12-31
CVAC,2014-12-01,2024-12-31
CVACFC,2015-01-13,2024-03-31
CVACFT,2022-11-01,2022-11-01
CVACRF,2022-06-11,2023-03-24
CVAFC,2015-03-09,2023-11-27
CVARF,2022-06-20,2023-03-23
DIFFBR,2014-12-01,2024-12-31
DIFFFC,2014-12-01,2024-09-11
DIFFFT,2022-10-27,2022-11-18
DIFFRF,2015-01-20,2023-05-05
DOA,2014-12-22,2024-12-27
DOAU,2024-02-06,2024-07-03
DROWN,2014-12-04,2024-12-24
DRUG,2014-12-01,2024-12-31
DRUGFC,2015-05-19,2024-01-03
DRUGFT,2022-11-04,2022-11-21
DRUGRF,2022-06-10,2023-03-28
EDP,2014-12-01,2024-12-31
EDPC,2018-07-06,2024-12-31
EDPE,2024-04-10,2024-12-31
EDPM,2021-06-03,2024-12-31
EDPT,2023-03-01,2024-12-31
EDPW,2018-10-28,2021-08-25
ELECT,2014-12-04,2024-12-31
GYNHEM,2014-12-01,2024-12-31
GYNMAJ,2014-12-01,2024-12-31
HEAT,2014-12-27,2024-12-28
HYPTN,2014-12-01,2024-12-31
INBLED,2014-12-01,2024-12-31
