window,group,final_call_type,kind,date
C2,altmen,ALTMFC,last_date,2024-03-30
C1b,altmen,ALTMFT,first_date,2021-03-10
C2,altmen,ALTMFT,last_date,2022-12-24
C2,asthma,ASTHFC,last_date,2024-12-19
C2,asthma,ASTHFT,first_date,2021-12-19
C2,asthma,ASTHFT,last_date,2023-05-21
C2,cardiac,ARREFC,last_date,2024-04-24
C2,cardiac,ARREFT,first_date,2022-11-21
C2,cardiac,ARREFT,last_date,2022-12-03
C2,cardiac,CARDFC,last_date,2024-06-29
C1b,cardiac,CARDFT,first_date,2021-01-06
C2,cardiac,CARDFT,last_date,2023-01-14
C2,cardiac,CVACFC,last_date,2024-03-31
C2,cardiac,CVACFT,first_date,2022-11-01
C2,cardiac,CVACFT,last_date,2022-11-01
C2,cardiac,CVAFC,last_date,2023-11-27
C2,edp,EDPM,first_date,2021-06-03
C2,edp,EDPW,last_date,2021-08-25
C1a,injury,INJALS,last_date,2015-12-16
C2,od_poison_drug,DRUGFC,last_date,2024-01-03
C1a,(geocoding),,missing_district_step,2016-01-01
