accessed_utc,exemption,script,git_commit,rows_total,rows_confirmation_window,date_min,date_max,disclosure
2026-09-13T02:39:51+00:00,O2_coverage_breaks,35_coverage_breaks.py,34211cc1b527,4876509,2975015,2014-12-01,2024-12-31,"docs/CONFIRMATION_PLAN.md, addendum section 18"
2026-09-13T02:42:27+00:00,O2_coverage_breaks,35_coverage_breaks.py,34211cc1b527,4876509,2975015,2014-12-01,2024-12-31,"docs/CONFIRMATION_PLAN.md, addendum section 18"
2026-09-13T17:24:06+00:00,O2_coverage_breaks,35_coverage_breaks.py,0551662a251d,4876509,2975015,2014-12-01,2024-12-31,"docs/CONFIRMATION_PLAN.md, addendum section 18"
2026-09-13T19:04:54+00:00,O2_coverage_breaks,35_coverage_breaks.py,32492a37ffc1,4876509,2975015,2014-12-01,2024-12-31,"docs/CONFIRMATION_PLAN.md, addendum section 18"
2026-09-13T19:18:59+00:00,O2_coverage_breaks,35_coverage_breaks.py,8188f9a7e028,4876509,2975015,2014-12-01,2024-12-31,"docs/CONFIRMATION_PLAN.md, addendum section 18"
2026-09-13T20:57:29+00:00,O2_coverage_breaks,35_coverage_breaks.py,ac2e9e2e6c9b,4876509,2975015,2014-12-01,2024-12-31,"docs/CONFIRMATION_PLAN.md, addendum section 18"
2026-09-20T03:55:48+00:00,O2_coverage_breaks,35_coverage_breaks.py,bbd146a74aac,4876509,2975015,2014-12-01,2024-12-31,"docs/CONFIRMATION_PLAN.md, addendum section 18"
2026-09-20T04:02:50+00:00,O2_coverage_breaks,35_coverage_breaks.py,bbd146a74aac,4876509,2975015,2014-12-01,2024-12-31,"docs/CONFIRMATION_PLAN.md, addendum section 18"
2026-09-20T04:27:07+00:00,O2_coverage_breaks,35_coverage_breaks.py,cfc5554f0548,4876509,2975015,2014-12-01,2024-12-31,"docs/CONFIRMATION_PLAN.md, addendum section 18"
2026-09-20T04:33:09+00:00,O2_coverage_breaks,35_coverage_breaks.py,cfc5554f0548,4876509,2975015,2014-12-01,2024-12-31,"docs/CONFIRMATION_PLAN.md, addendum section 18"
2026-09-20T04:45:56+00:00,O2_coverage_breaks,35_coverage_breaks.py,84411f69cd41,4876509,2975015,2014-12-01,2024-12-31,"docs/CONFIRMATION_PLAN.md, addendum section 18"
2026-09-20T04:51:49+00:00,O2_coverage_breaks,35_coverage_breaks.py,84411f69cd41,4876509,2975015,2014-12-01,2024-12-31,"docs/CONFIRMATION_PLAN.md, addendum section 18"
