metric,value
outcome,edp_share
episode_list,confirmation_episodes_rebuilt.csv
freeze_active,1
generator_fingerprint,9c05c9183349afbb1b487e10b8f3998633a6f210df4e251637518fec656554cc
target_power,0.8
alpha,0.05
min_sims_required,200
null_sims_requested,200
scan_sims_requested,200
noise.rho,0.04817
noise.sigma,0.038959
noise.mu,0.08559
noise.cd_scale,0.335057
noise.dow_scale,0.130237
noise.day_scale,0.284476
noise.implied_total_sd,0.042857
noise.panel_total_sd,0.042779
episodes_total,74
gate_tolerance_log,0.15
gate_mc_noise_floor_log,0.0295
discovery.windows,2017-01-01..2020-12-31
discovery.calendar_days,1461
discovery.geometry.n_nominal,29
discovery.geometry.min_gap_between_starts,15
discovery.geometry.pairs_within_14d_steal_range,0
discovery.geometry.pairs_within_full_window,8
discovery.geometry.first_week_days_lost_predicted,0
discovery.geometry.n_identifying,29
discovery.geometry.first_week_depth,29.0
discovery.geometry.pre_period_depth,26.3846
discovery.geometry.window_rows_kept,0.9215
discovery.geometry.episodes_with_neighbour_28d,15
discovery.geometry.episodes_window_straddles_bheard,0
discovery.geometry.episodes_first_week_straddles_bheard,0
discovery.placebo.accept_rate,1.0
discovery.placebo.contaminated,0.3228
discovery.placebo.contaminated_p10,0.2414
discovery.placebo.contaminated_p90,0.4138
discovery.placebo.outside_windows,0.0
discovery.placebo.sequence_span_days,1240.0
discovery.placebo.free_days,190.0
discovery.plant_equivalence_max_abs_diff,0.0
discovery.unit_response_draw_invariance.level,8.881784197001252e-16
discovery.first_week_attenuation_max_abs_dev.level,4.440892098500626e-15
discovery.unit_response_draw_invariance.dip_rebound,1.1102230246251565e-15
discovery.first_week_attenuation_max_abs_dev.dip_rebound,2.886579864025407e-15
discovery.n_null_sims_completed,200
discovery.sigma_empirical_available,1
discovery.sigma.mean_offdiag_corr,0.4967
discovery.mde_analytic_saturating_overlap.level,0.009093296858908162
discovery.mde_analytic_modelvcov.level,0.009093296858908162
discovery.mde_analytic_empiricalvcov.level,0.00979034031323062
discovery.lambda_per_unit.level,181672.42819499873
discovery.vcov_inflation.level,1.0767
discovery.mde_analytic_saturating_overlap.dip_rebound,0.0030383700367880863
discovery.mde_analytic_modelvcov.dip_rebound,0.0030383700367880863
discovery.mde_analytic_empiricalvcov.dip_rebound,0.0032028071910954778
discovery.lambda_per_unit.dip_rebound,1627235.5748245858
discovery.vcov_inflation.dip_rebound,1.0541
discovery.mde_mc.level,0.009502931913098
discovery.mde_mc_bracket_lo.level,0.009364376537579525
discovery.mde_mc_bracket_hi.level,0.009643537354844377
discovery.mde_mc_bracket_closed.level,1
discovery.n_scan_sims_completed.level,200
discovery.gate_log_ratio.level,0.0441
discovery.gate_ok.level,1
discovery.mde_mc.dip_rebound,0.0029073975236678998
discovery.mde_mc_bracket_lo.dip_rebound,0.002865006863674003
discovery.mde_mc_bracket_hi.dip_rebound,0.0029504153961398896
discovery.mde_mc_bracket_closed.dip_rebound,1
discovery.n_scan_sims_completed.dip_rebound,200
discovery.gate_log_ratio.dip_rebound,-0.0441
discovery.gate_ok.dip_rebound,1
discovery.n_effective.level,31.167
discovery.lambda_per_unit_spaced.level,169043.239707187
discovery.n_effective_saturating.level,31.167
discovery.n_effective.dip_rebound,28.739
discovery.lambda_per_unit_spaced.dip_rebound,1642004.9631326103
discovery.n_effective_saturating.dip_rebound,28.739
discovery.roth.trend_lambda_per_unit,12243876.15877277
discovery.roth.lambda_target,15.02213842
discovery.roth.bias_matched_slope_per_day,0.00110766
discovery.roth.retired_lever_rule_slope_per_day,0.00211176
discovery.roth.retired_lever_rule_optimism,1.90650825
discovery.roth.bias_matched_slope_over_mde_level,0.1165598
discovery.roth.bias_matched_slope_over_mde_dip_rebound,0.38097984
discovery.roth.pretest_k,13.0
discovery.roth.pretest_lambda_at_bias_matched_slope,48.92091623
discovery.roth.pretest_power_at_bias_matched_slope,0.99953195
discovery.ri_profile,level
discovery.ri_status,BRACKETED
discovery.mde_ri,0.01022707321197531
discovery.mde_ri_bracket_lo,0.010077959656043474
discovery.mde_ri_bracket_hi,0.010378393053040396
discovery.mde_ri_bracket_closed,1
discovery.ri_sims,40
discovery.ri_draws,60
discovery.mde_best_profile,0.0029073975236678998
discovery.mde_worst_profile,0.009502931913098
discovery.mde_over_reference.minimum_of_interest,1.901
discovery.mde_over_reference.planted_verification,0.95
discovery.mde_over_reference.discovery_gate2,8.799
discovery.POWER_VERDICT,UNDERPOWERED
C1.windows,2015-07-01..2016-12-31|2021-01-01..2021-05-31
C1.calendar_days,701
C1.geometry.n_nominal,15
C1.geometry.min_gap_between_starts,16
C1.geometry.pairs_within_14d_steal_range,0
C1.geometry.pairs_within_full_window,3
C1.geometry.first_week_days_lost_predicted,0
C1.geometry.n_identifying,15
C1.geometry.first_week_depth,15.0
C1.geometry.pre_period_depth,13.1538
C1.geometry.window_rows_kept,0.9011
C1.geometry.episodes_with_neighbour_28d,5
C1.geometry.episodes_window_straddles_bheard,1
C1.geometry.episodes_first_week_straddles_bheard,0
C1.placebo.accept_rate,0.0
C1.placebo.contaminated,nan
C1.placebo.contaminated_p10,nan
C1.placebo.contaminated_p90,nan
C1.placebo.outside_windows,nan
C1.placebo.sequence_span_days,2132.0
C1.placebo.free_days,-1.0
C1.plant_equivalence_max_abs_diff,0.0
C1.unit_response_draw_invariance.level,4.440892098500626e-16
C1.first_week_attenuation_max_abs_dev.level,1.7763568394002505e-15
C1.unit_response_draw_invariance.dip_rebound,1.3322676295501878e-15
C1.first_week_attenuation_max_abs_dev.dip_rebound,1.887379141862766e-15
C1.n_null_sims_completed,200
C1.sigma_empirical_available,1
