policeprecinct,communitydistrict,n,w_cd_calls_from_precinct
1,101,136314,0.731019836865
5,101,50157,0.268980163135
1,102,23245,0.120803450785
5,102,30477,0.158387901466
6,102,117818,0.612296019125
9,102,20880,0.108512628625
5,103,76862,0.205488095047
7,103,131049,0.350355303893
9,103,166074,0.443993519514
84,103,61,0.000163081546
10,104,121143,0.311891435427
13,104,38425,0.098927948014
14,104,115760,0.298032511701
18,104,113086,0.291148104857
10,105,3958,0.009143411569
13,105,80144,0.185141378673
14,105,230612,0.532738865274
18,105,118166,0.272976344483
13,106,120934,0.47935469806
17,106,130649,0.517862734606
19,106,702,0.002782567335
20,107,121439,0.413610710916
24,107,172168,0.586389289084
19,108,238640,0.944233858523
23,108,1077,0.004261397358
25,108,1,3.956729e-06
114,108,13016,0.051500787389
26,109,92195,0.437995562798
30,109,118298,0.562004437202
28,110,153783,0.425906744361
30,110,993,0.002750144016
32,110,206296,0.571343111623
23,111,187522,0.419988667236
25,111,258818,0.579668662219
40,111,153,0.000342670546
33,112,155151,0.451331295107
34,112,188609,0.54865997795
46,112,3,8.726943e-06
40,201,371784,1.0
41,202,188278,1.0
42,203,315867,1.0
44,204,400991,1.0
46,205,366107,1.0
48,206,286040,0.994192088589
52,206,1671,0.005807911411
47,207,317,0.000975174578
48,207,1756,0.005401913434
52,207,322997,0.993622911988
50,208,150892,0.999152430142
52,208,128,0.000847569858
41,209,18,5.0373181e-05
43,209,356504,0.997680035149
49,209,811,0.002269591669
43,210,6,3.0569198e-05
45,210,196270,0.999969430802
49,211,229540,1.0
47,212,316642,1.0
90,301,162715,0.647841060657
94,301,88450,0.352158939343
76,302,2,6.566139e-06
78,302,12062,0.039600384776
84,302,170107,0.558473110019
88,302,122422,0.401919939066
79,303,203101,0.578193857681
81,303,148167,0.421806142319
75,304,88,0.000468167285
83,304,187879,0.999531832715
75,305,469214,1.0
76,306,67867,0.45084167032
78,306,82667,0.54915832968
72,307,155508,0.999967848347
78,307,5,3.2151653e-05
77,308,186595,0.958455540545
78,308,8088,0.041544459455
71,309,177513,1.0
68,310,139989,0.999800024283
72,310,28,0.000199975717
62,311,181349,1.0
66,312,134991,1.0
60,313,239426,1.0
70,314,226329,0.999589262527
72,314,93,0.000410737473
61,315,177144,1.0
73,316,311668,1.0
67,317,260515,0.998845929698
70,317,301,0.001154070302
63,318,118594,0.482477766658
69,318,125493,0.510545072864
75,318,1715,0.006977160479
108,401,45,0.000153764146
114,401,292596,0.999794981138
115,401,15,5.1254715e-05
108,402,145017,0.999827636133
114,402,17,0.00011720743
115,402,8,5.5156437e-05
110,403,300,0.001607820439
114,403,2,1.0718803e-05
115,403,186286,0.998381460758
110,404,182034,1.0
102,405,195,0.001223076634
104,405,159239,0.998776923366
102,406,1490,0.01324126654
104,406,677,0.006016333858
112,406,110360,0.980742399602
109,407,242613,0.994450069067
110,407,1354,0.005549930933
107,408,164730,0.999969648223
109,408,5,3.0351777e-05
102,409,182319,1.0
75,410,25,0.00015702334
106,410,159181,0.999805291058
113,410,6,3.7685602e-05
105,411,75,0.000886367665
111,411,84540,0.999113632335
103,412,278892,0.581008053932
113,412,200953,0.418639873004
116,412,169,0.000352073065
105,413,259083,0.992784500663
113,413,941,0.00360583371
116,413,942,0.003609665627
100,414,82250,0.367875624494
101,414,141331,0.632124375506
120,501,223421,0.70651424596
121,501,92809,0.29348575404
120,502,4,2.2897967e-05
121,502,62727,0.359080188679
122,502,111234,0.63675810588
123,502,723,0.004138807474
121,503,462,0.003310214376
122,503,59592,0.42697466468
123,503,79514,0.569715120945
