redirect,target,target_was_collected_directly
2020_Riots:_How_Many_Times,Trey_Songz,False
Abdul_Razak_Ali_Artan,2016_Ohio_State_University_attack,False
Aiyana_Jones,Killing_of_Aiyana_Jones,True
Alvin_Cole,Killing_of_Alvin_Cole,True
Anthony_Weber_(shooting_victim),Killing_of_Anthony_Weber,True
Arrest_of_Omar_Jimenez,Omar_Jimenez,False
Arthur_McDuffie,1980_Miami_riots,False
Baltimore_(Prince_song),Hit_n_Run_Phase_Two,False
Cara_Knott,Murder_of_Cara_Knott,True
Christopher_Penley,Killing_of_Christopher_Penley,False
Clifford_Glover,Killing_of_Clifford_Glover,False
Dahir_A._Adan,"2016_St._Cloud,_Minnesota_knife_attack",False
Daniel_Prude,Killing_of_Daniel_Prude,True
Darren_Wilson_(police_officer),Killing_of_Michael_Brown,True
Elijah_McClain,Killing_of_Elijah_McClain,True
Emogene_Thompson,Michael_Harold_Chapel,False
Eric_Courtney_Harris,Killing_of_Eric_Harris,True
Eric_Garner,Killing_of_Eric_Garner,True
Freddie_Gray,Killing_of_Freddie_Gray,True
George_Robinson_(police_brutality_victim),Killing_of_George_Robinson,True
Hesham_Mohamed_Hadayet,2002_Los_Angeles_International_Airport_shooting,False
Javier_Ambler_II,Killing_of_Javier_Ambler,True
Jeffrey_T._Johnson,2012_Empire_State_Building_shooting,False
Jessie_Davis,Murder_of_Jessie_Davis,False
Johnny_Wicks,Las_Vegas_courthouse_shooting,False
Jonathan_Sanders,Death_of_Jonathan_Sanders,True
Jonny_Gammage,Killing_of_Jonny_Gammage,True
Jordan_Edwards_(shooting_victim),Murder_of_Jordan_Edwards,False
Kevin_Mullins,Killing_of_Kevin_Mullins,False
Laquan_McDonald,Murder_of_Laquan_McDonald,True
Ma'Khia_Bryant,Killing_of_Ma'Khia_Bryant,True
Manuel_Ellis,Killing_of_Manuel_Ellis,True
Mario_Gonzalez_(construction_worker),Death_of_Mario_Gonzalez,True
Maurice_Clemmons,2009_Lakewood_shooting,False
Mauricio_Garcia,"2023_Allen,_Texas_mall_shooting",False
Mohamed_Barry,2016_Ohio_restaurant_machete_attack,False
Monroe_Isadore,"List_of_killings_by_law_enforcement_officers_in_the_United_States,_September_2013",False
Nengmy_Vang,2017_Marathon_County_shootings,False
Oluwatoyin_Salau,Murders_of_Oluwatoyin_Salau_and_Victoria_Sims,False
Patrick_Lyoya,Killing_of_Patrick_Lyoya,True
Police_harassment,Police_misconduct,False
Ronald_Greene,Killing_of_Ronald_Greene,True
Salvador_Rolando_Ramos,Uvalde_school_shooting,False
Sam_Shepherd_(Groveland_Four),Groveland_Four,False
Sandra_Bland,Death_of_Sandra_Bland,True
Savannah_Graziano,Killing_of_Savannah_Graziano,False
Sherri_Rasmussen,Murder_of_Sherri_Rasmussen,False
Song_33,Snow_on_tha_Bluff_(song),True
Tamir_Rice,Killing_of_Tamir_Rice,True
That_one_friend_that's_too_woke,List_of_Internet_phenomena,False
Trayvon_Martin_could_have_been_me_35_years_ago,Speeches_of_Barack_Obama,False
Tyre_Nichols,Killing_of_Tyre_Nichols,False
Usaama_Rahim,2015_Boston_beheading_plot,False
Walter_Lamar_Scott,Killing_of_Walter_Scott,False
