article,n_titles,canonical_views,all_titles_views,gain,titles
Abdul_Razak_Ali_Artan,1,2989,2989,1.0,Abdul_Razak_Ali_Artan
Alvin_Cole,1,942,942,1.0,Alvin_Cole
Daniel_Prude,1,5905,5905,1.0,Daniel_Prude
Death_of_Anthony_Baez,3,15977,91882,5.75,"Death_of_Anthony_Baez | Baez,_Anthony | Anthony_Baez"
Death_of_Jonathan_Sanders,3,58890,60496,1.03,Death_of_Jonathan_Sanders | Jonathan_Sanders | Killing_of_Jonathan_Sanders
Death_of_Keenan_Anderson,4,169594,174889,1.03,Death_of_Keenan_Anderson | Draft:Death_of_Keenan_Anderson | Keenan_Anderson | Keenan_Darnell_Anderson
Death_of_Mario_Gonzalez,4,18200,33494,1.84,Death_of_Mario_Gonzalez | Mario_Arenales_Gonzalez | Killing_of_Mario_Gonzalez | Mario_Gonzalez_(construction_worker)
Death_of_Marvin_Scott,4,16727,17257,1.03,Death_of_Marvin_Scott | Marvin_Scott_III | Marvin_David_Scott_III | Marvin_David_Scott
Death_of_Michael_Stewart,6,430368,463889,1.08,Death_of_Michael_Stewart | Michael_Stewart_(graffiti_writer) | Michael_Stewart_(Vandal) | Michael_Stewart_(graffiti_artist) | Michael_Jerome_Stewart | Michael_J._Stewart
Death_of_Natasha_McKenna,2,53053,189546,3.57,Death_of_Natasha_McKenna | Natasha_McKenna
Death_of_Sandra_Bland,3,6663188,6808785,1.02,Death_of_Sandra_Bland | Sandra_Bland | Suicide_of_Sandra_Bland
Death_of_Tamla_Horsford,2,1460498,1461152,1.0,Death_of_Tamla_Horsford | Tamla_Horsford
Death_of_Tyrone_West,2,45435,46109,1.01,Death_of_Tyrone_West | Tyrone_West
Elijah_McClain,1,30087,30087,1.0,Elijah_McClain
Eric_Garner,1,280937,280937,1.0,Eric_Garner
Freddie_Gray,1,91238,91238,1.0,Freddie_Gray
George_Floyd,15,14273271,14355902,1.01,"George_Floyd | Floyd,_George | George_Floyd_(rapper) | George_Floyd_(died_2020) | Big_Floyd | George_Floyd_(detainee) | George_Floyd_(Detainee) | George_Perry_Floyd | Geroge_Floyd | Draft:George_Floyd | George_Perry_Floyd_Jr. | George_P._Floyd | George_floyd | Perry_floyd | George_Floid"
Jonathan_Sanders,1,1582,1582,1.0,Jonathan_Sanders
Kevin_Mullins,1,16662,16662,1.0,Kevin_Mullins
Killing_of_Akai_Gurley,4,54488,582407,10.69,Killing_of_Akai_Gurley | Akai_Gurley | Akai_Gurley_shooting | Shooting_of_Akai_Gurley
