year,user,automated,mean_share,max_share,mean_z_shift,max_z_shift,share_of_total
2015,4368586,0,0.0,0.0,0.0,0.0,0.0
2016,7877265,0,0.0,0.0,0.0,0.0,0.0
2017,6082306,0,0.0,0.0,0.0,0.0,0.0
2018,5824451,0,0.0,0.0,0.0,0.0,0.0
2019,5849871,0,0.0,0.0,0.0,0.0,0.0
2020,54959117,71205,0.0018594282365532178,0.011375514972637274,0.003787016833572417,0.023258019781026384,0.0012939230121168472
2021,17335550,134572,0.00992741551894888,0.06564726603154271,0.020321262428767937,0.13803476152426863,0.007702979979189613
2022,8702887,302034,0.03599928151760849,0.11287430030976578,0.07534635241339183,0.2434706123496942,0.03354099386324433
2023,9289049,613670,0.06896779648641045,0.1384948415622697,0.14583370735958232,0.3030467925074125,0.06196984888695721
2024,7180468,364190,0.047138058545486194,0.5394147466673819,0.1010516736775501,1.576002650968212,0.048271240392871353
