name,article,category,in_registry,death_date
16th Street NW,16th_Street_NW,Black Lives Matter,False,
1980 Miami riots,1980_Miami_riots,Deaths in police custody in the United States,False,
2002 Los Angeles International Airport shooting,2002_Los_Angeles_International_Airport_shooting,African people shot dead by law enforcement officers in the United States,False,
2009 Lakewood shooting,2009_Lakewood_shooting,African Americans shot dead by law enforcement officers in the United States,False,
"2012 Anaheim, California police shooting and protests","2012_Anaheim,_California_police_shooting_and_protests",Hispanic and Latino American people shot dead by law enforcement officers in California,False,
2012 Empire State Building shooting,2012_Empire_State_Building_shooting,Asian people shot dead by law enforcement officers in New York (state),False,
2015 Baltimore protests,2015_Baltimore_protests,Black Lives Matter,False,
2015 Boston beheading plot,2015_Boston_beheading_plot,African Americans shot dead by law enforcement officers in the United States,False,
2015 Chicago White Sox–Baltimore Orioles crowdless game,2015_Chicago_White_Sox–Baltimore_Orioles_crowdless_game,Killing of Freddie Gray,False,
2016 Ohio State University attack,2016_Ohio_State_University_attack,People shot dead by law enforcement officers in the United States,False,
2016 Ohio restaurant machete attack,2016_Ohio_restaurant_machete_attack,People shot dead by law enforcement officers in the United States,False,
"2016 St. Cloud, Minnesota knife attack","2016_St._Cloud,_Minnesota_knife_attack",People shot dead by law enforcement officers in the United States,False,
2017 Marathon County shootings,2017_Marathon_County_shootings,Asian people shot dead by law enforcement officers in the United States,False,
2020 American athlete strikes,2020_American_athlete_strikes,Black Lives Matter,False,
2020 Minneapolis false rumors riot,2020_Minneapolis_false_rumors_riot,Black Lives Matter,False,
2020 Minneapolis park encampments,2020_Minneapolis_park_encampments,2020 United States racial unrest,False,
2020 deployment of federal forces in the United States,2020_deployment_of_federal_forces_in_the_United_States,2020 United States racial unrest,False,
2020–2023 Minneapolis–Saint Paul racial unrest,2020–2023_Minneapolis–Saint_Paul_racial_unrest,Black Lives Matter,False,
2021 Minneapolis Question 2,2021_Minneapolis_Question_2,Black Lives Matter,False,
2021 Uptown Minneapolis unrest,2021_Uptown_Minneapolis_unrest,2021 United States racial unrest,False,
2022 Normandale Park shooting,2022_Normandale_Park_shooting,Black Lives Matter,False,
"2023 Allen, Texas mall shooting","2023_Allen,_Texas_mall_shooting",Hispanic and Latino American people shot dead by law enforcement officers in Texas,False,
8 minutes 46 seconds,8_minutes_46_seconds,Murder of George Floyd,False,
8:46 (special),8:46_(special),Murder of George Floyd,False,
A Surge of Power (Jen Reid) 2020,A_Surge_of_Power_(Jen_Reid)_2020,Black Lives Matter art,False,
Aalayah Eastmond,Aalayah_Eastmond,Black Lives Matter people,False,
Alicia Garza,Alicia_Garza,Black Lives Matter people,False,
All American Boys,All_American_Boys,Black Lives Matter art,False,
All Lives Matter,All_Lives_Matter,Black Lives Matter,False,
Alright (Kendrick Lamar song),Alright_(Kendrick_Lamar_song),Black Lives Matter art,False,
Andrew Goodman (activist),Andrew_Goodman_(activist),People murdered by law enforcement officers in the United States,False,
Angel Down (song),Angel_Down_(song),Black Lives Matter art,False,
Angela Atwood,Angela_Atwood,People killed by law enforcement officers in the United States,False,
Antonia Martínez,Antonia_Martínez,Hispanic and Latino American people shot dead by law enforcement officers in the United States,False,
"Asbury United Methodist Church (Washington, D.C.)","Asbury_United_Methodist_Church_(Washington,_D.C.)",Black Lives Matter,False,
Assa Traoré,Assa_Traoré,Black Lives Matter people,False,
Assata's Daughters,Assata's_Daughters,Black Lives Matter,False,
Ayọ Tometi,Ayọ_Tometi,Black Lives Matter people,False,
BAMN,BAMN,Black Lives Matter,False,
BREATHE Act,BREATHE_Act,Black Lives Matter,False,
BYP100,BYP100,Black Lives Matter,False,
Bad News: How Woke Media Is Undermining Democracy,Bad_News:_How_Woke_Media_Is_Undermining_Democracy,Works about woke,False,
Baltimore Rising,Baltimore_Rising,Killing of Freddie Gray,False,
Bars4Justice,Bars4Justice,Killing of Michael Brown,False,
"Bear Witness, Take Action","Bear_Witness,_Take_Action",Black Lives Matter,False,
