date,sum,max,n_articles
2015-07-01,7692,7466,19
2015-07-02,7952,7737,20
2015-07-03,6683,6490,21
2015-07-04,5610,5430,21
2015-07-05,5851,5685,20
2015-07-06,6994,6762,20
2015-07-07,6606,6397,22
2015-07-08,7901,7620,20
2015-07-09,8674,8437,22
2015-07-10,7149,6908,20
2015-07-11,7063,6846,22
2015-07-12,7285,7045,21
2015-07-13,16719,16270,19
2015-07-14,24744,24174,21
2015-07-15,12241,11980,20
2015-07-16,8836,8629,22
2015-07-17,14645,14305,21
2015-07-18,12251,11970,21
2015-07-19,9589,9324,19
2015-07-20,8952,8697,20
2015-07-21,12114,11508,22
2015-07-22,69574,65788,23
2015-07-23,153199,148764,23
2015-07-24,263093,259576,21
2015-07-25,126286,124128,22
2015-07-26,127232,124914,23
2015-07-27,119640,117358,22
2015-07-28,102830,101047,23
2015-07-29,101320,99512,24
2015-07-30,73498,67350,23
2015-07-31,44020,41190,26
2015-08-01,31469,29870,24
2015-08-02,24097,23101,23
2015-08-03,25111,24165,24
2015-08-04,33780,32583,23
2015-08-05,22831,22080,24
2015-08-06,19968,19177,24
2015-08-07,18319,17666,25
2015-08-08,20884,20253,26
2015-08-09,52179,50938,26
2015-08-10,71008,69569,26
2015-08-11,53207,51988,25
2015-08-12,30816,29968,25
2015-08-13,22520,21852,27
2015-08-14,30283,29621,24
2015-08-15,16811,16255,24
2015-08-16,16412,15838,27
2015-08-17,17898,17310,26
2015-08-18,18033,17280,26
2015-08-19,17174,15724,27
2015-08-20,16027,14811,25
2015-08-21,13062,12440,27
2015-08-22,12845,12281,25
2015-08-23,23796,22800,28
2015-08-24,23042,22093,28
2015-08-25,17142,16381,27
2015-08-26,16537,15902,27
2015-08-27,17733,17060,27
2015-08-28,14480,13932,28
2015-08-29,13281,12802,27
2015-08-30,14672,14109,26
2015-08-31,16540,15894,26
2015-09-01,18117,17373,27
2015-09-02,28370,27391,27
2015-09-03,21365,20526,27
2015-09-04,13670,12984,26
2015-09-05,10354,9821,25
2015-09-06,9838,9350,25
2015-09-07,10731,10163,26
2015-09-08,28124,27169,28
2015-09-09,26824,26013,26
2015-09-10,21683,20950,27
2015-09-11,22553,21978,27
2015-09-12,10693,10259,26
2015-09-13,11274,10808,26
2015-09-14,12212,11714,27
2015-09-15,12543,11998,27
2015-09-16,11739,11332,26
2015-09-17,11165,10711,25
2015-09-18,10497,10041,26
2015-09-19,7443,7042,25
2015-09-20,8863,8443,25
2015-09-21,11599,11150,26
2015-09-22,10362,9907,26
2015-09-23,10582,10169,25
2015-09-24,10027,9579,25
2015-09-25,8571,8161,26
2015-09-26,6860,6460,26
2015-09-27,7714,7303,25
2015-09-28,10443,9943,25
2015-09-29,15093,14639,25
2015-09-30,12581,12127,28
2015-10-01,10873,10443,27
2015-10-02,9098,8707,27
2015-10-03,7245,6901,26
2015-10-04,8798,8430,27
2015-10-05,10173,9775,26
2015-10-06,10296,9925,26
2015-10-07,9831,9420,28
2015-10-08,10856,10441,27
2015-10-09,9177,8766,27
2015-10-10,7718,7356,27
2015-10-11,19788,19001,26
2015-10-12,18670,17961,27
2015-10-13,14470,13836,28
2015-10-14,16235,15528,27
2015-10-15,15437,14844,27
2015-10-16,26014,25201,27
2015-10-17,11739,11287,29
2015-10-18,9818,9407,28
2015-10-19,12035,11520,27
2015-10-20,11105,10660,26
2015-10-21,12044,11564,27
2015-10-22,11576,11105,26
2015-10-23,12862,12378,27
2015-10-24,10349,9934,27
2015-10-25,8625,8166,27
2015-10-26,11331,10762,27
2015-10-27,15188,14512,27
2015-10-28,17992,17174,27
2015-10-29,15703,14984,28
2015-10-30,12761,12128,29
2015-10-31,7888,7412,29
2015-11-01,8899,8400,28
2015-11-02,11529,10918,29
2015-11-03,12184,11530,29
2015-11-04,12469,11822,28
2015-11-05,12516,11913,27
2015-11-06,10123,9610,29
2015-11-07,9008,8521,29
2015-11-08,10066,9625,28
2015-11-09,15999,15475,28
2015-11-10,12963,12474,28
