date,sum,max,n_articles
2015-07-01,9545,9316,19
2015-07-02,9684,9461,20
2015-07-03,8089,7903,20
2015-07-04,6651,6477,21
2015-07-05,8525,8367,20
2015-07-06,7851,7630,20
2015-07-07,7416,7211,21
2015-07-08,8760,8486,20
2015-07-09,9785,9553,21
2015-07-10,8590,8346,20
2015-07-11,8213,8006,21
2015-07-12,8051,7807,21
2015-07-13,17341,16893,19
2015-07-14,25408,24841,20
2015-07-15,12873,12609,20
2015-07-16,9515,9296,21
2015-07-17,15195,14853,20
2015-07-18,12877,12597,21
2015-07-19,10308,10031,19
2015-07-20,9732,9488,20
2015-07-21,12607,12013,21
2015-07-22,70755,66973,22
2015-07-23,154538,150102,22
2015-07-24,264560,261066,21
2015-07-25,127282,125150,22
2015-07-26,128056,125670,22
2015-07-27,120421,118071,22
2015-07-28,103525,101701,22
2015-07-29,102742,100863,23
2015-07-30,76333,70068,22
2015-07-31,45657,42767,25
2015-08-01,32360,30733,23
2015-08-02,24861,23826,23
2015-08-03,25768,24783,24
2015-08-04,34441,33205,23
2015-08-05,23416,22626,24
2015-08-06,20569,19752,24
2015-08-07,18890,18219,24
2015-08-08,21363,20704,25
2015-08-09,52878,51538,25
2015-08-10,72083,70550,25
2015-08-11,54191,52872,25
2015-08-12,31865,30963,25
2015-08-13,23171,22457,26
2015-08-14,30797,30092,24
2015-08-15,17573,16960,24
2015-08-16,17061,16450,26
2015-08-17,18845,18196,25
2015-08-18,18856,18033,25
2015-08-19,17887,16309,26
2015-08-20,16548,15250,25
2015-08-21,13600,12927,26
2015-08-22,13130,12542,25
2015-08-23,24143,23096,27
2015-08-24,23520,22534,27
2015-08-25,17596,16798,26
2015-08-26,17264,16596,26
2015-08-27,18868,18159,27
2015-08-28,15186,14603,27
2015-08-29,13765,13249,26
2015-08-30,15329,14709,25
2015-08-31,17035,16317,26
2015-09-01,18656,17816,27
2015-09-02,29104,28009,27
2015-09-03,22047,21114,26
2015-09-04,14126,13371,25
2015-09-05,10644,10042,25
2015-09-06,10246,9682,25
2015-09-07,11184,10548,26
2015-09-08,28394,27381,27
2015-09-09,27361,26484,25
2015-09-10,23075,22263,26
2015-09-11,23855,23229,26
2015-09-12,11393,10921,25
2015-09-13,11820,11306,25
2015-09-14,12956,12422,26
2015-09-15,14592,13981,26
2015-09-16,12427,12006,25
2015-09-17,11785,11296,25
2015-09-18,10920,10439,25
2015-09-19,7688,7272,25
2015-09-20,9083,8622,25
2015-09-21,11967,11494,25
2015-09-22,10618,10148,26
2015-09-23,10897,10466,25
2015-09-24,10372,9907,25
2015-09-25,8895,8462,26
2015-09-26,7418,7006,25
2015-09-27,7952,7520,25
2015-09-28,10727,10208,25
2015-09-29,15458,14970,25
2015-09-30,12978,12488,27
2015-10-01,11211,10745,27
2015-10-02,9504,9087,26
2015-10-03,7514,7155,26
2015-10-04,9083,8697,27
2015-10-05,10589,10160,26
2015-10-06,10676,10296,26
2015-10-07,10246,9807,27
2015-10-08,11296,10836,26
2015-10-09,16769,16209,27
2015-10-10,9134,8736,26
2015-10-11,20449,19620,26
2015-10-12,19344,18612,27
2015-10-13,14916,14255,27
2015-10-14,16497,15753,26
2015-10-15,15770,15141,26
2015-10-16,26295,25441,26
2015-10-17,11927,11444,27
2015-10-18,10127,9695,27
2015-10-19,11926,11364,26
2015-10-20,11166,10698,26
2015-10-21,12384,11862,26
2015-10-22,11889,11404,26
2015-10-23,13106,12603,27
2015-10-24,10474,10034,27
2015-10-25,8718,8226,26
2015-10-26,11738,11113,27
2015-10-27,15997,15196,27
2015-10-28,19135,18099,27
2015-10-29,16355,15493,27
2015-10-30,13410,12684,28
2015-10-31,8198,7656,27
2015-11-01,9221,8653,27
2015-11-02,11915,11227,28
2015-11-03,12421,11768,28
2015-11-04,12953,12293,28
2015-11-05,13066,12406,27
2015-11-06,10589,10030,28
2015-11-07,11763,11183,27
2015-11-08,11541,11043,28
2015-11-09,17035,16465,28
2015-11-10,13953,13427,27
2015-11-11,15262,14765,27
2015-11-12,14015,13486,28
2015-11-13,12039,11459,27
2015-11-14,8396,7995,28
2015-11-15,10220,9776,28
2015-11-16,13305,12285,29
2015-11-17,14199,13107,30
2015-11-18,13532,12759,29
2015-11-19,14368,13582,30
2015-11-20,13049,12154,30
2015-11-21,10803,10205,30
2015-11-22,12162,11190,30
2015-11-23,16807,16033,30
2015-11-24,18415,17014,30
2015-11-25,43789,40799,31
2015-11-26,23743,22497,30
2015-11-27,14354,13572,30
2015-11-28,16377,15528,30
2015-11-29,16461,15658,31
2015-11-30,26879,25745,31
2015-12-01,28941,27332,30
2015-12-02,31187,29484,31
2015-12-03,20890,19714,30
2015-12-04,17173,16296,30
2015-12-05,12600,11936,30
2015-12-06,12941,12247,30
2015-12-07,18177,17163,31
2015-12-08,15711,14814,30
2015-12-09,18299,17407,30
2015-12-10,17290,16419,30
2015-12-11,15110,14400,30
2015-12-12,11141,10582,31
2015-12-13,10222,9684,29
2015-12-14,15946,15188,31
2015-12-15,20434,19579,31
2015-12-16,52730,51425,30
2015-12-17,53853,52474,31
2015-12-18,15452,14938,31
2015-12-19,9420,9064,31
2015-12-20,8960,8517,30
2015-12-21,11407,10895,31
2015-12-22,53913,52675,30
2015-12-23,53541,52583,31
2015-12-24,27902,27052,30
2015-12-25,13091,12634,31
2015-12-26,11526,11129,29
2015-12-27,14661,14169,31
2015-12-28,62153,60524,31
2015-12-29,117398,113911,31
2015-12-30,89575,87370,31
2015-12-31,56737,55405,31
2016-01-01,27958,27015,30
2016-01-02,29515,28469,31
2016-01-03,27822,26903,30
2016-01-04,23760,22874,30
2016-01-05,22865,21974,30
2016-01-06,23439,22651,30
2016-01-07,37075,35875,30
2016-01-08,27398,26556,31
2016-01-09,16082,15489,31
2016-01-10,16981,16383,30
2016-01-11,19657,18990,30
2016-01-12,15286,14660,30
2016-01-13,13484,12953,31
2016-01-14,12049,11507,31
2016-01-15,11192,10710,30
2016-01-16,8681,8220,30
2016-01-17,8993,8556,31
2016-01-18,19356,18631,30
2016-01-19,17400,16729,30
2016-01-20,16996,16403,31
2016-01-21,15452,14938,31
2016-01-22,12712,12103,31
2016-01-23,10021,9533,31
2016-01-24,11035,10521,31
2016-01-25,18588,18029,33
2016-01-26,14261,13705,32
2016-01-27,13655,13048,33
2016-01-28,13748,13188,32
2016-01-29,12588,12022,31
2016-01-30,12216,11714,33
2016-01-31,10625,10176,33
2016-02-01,12006,11469,32
2016-02-02,12356,11799,32
2016-02-03,12138,11683,33
2016-02-04,12182,11617,32
2016-02-05,10090,9600,33
2016-02-06,8339,7870,33
2016-02-07,15482,14574,32
2016-02-08,19368,17499,32
2016-02-09,17949,16482,32
2016-02-10,17951,16524,33
2016-02-11,29217,27720,31
2016-02-12,68172,66364,32
2016-02-13,33312,32144,31
2016-02-14,21458,20548,33
2016-02-15,18331,17447,32
2016-02-16,19996,19042,32
2016-02-17,21958,20945,32
2016-02-18,20108,19250,32
2016-02-19,19388,18499,32
2016-02-20,21085,20418,31
2016-02-21,31560,30771,33
2016-02-22,24571,23672,32
2016-02-23,24212,23280,32
2016-02-24,23702,22886,32
2016-02-25,24520,23616,32
2016-02-26,19567,18726,32
2016-02-27,14444,13823,33
2016-02-28,14187,13563,32
2016-02-29,16531,15798,33
2016-03-01,17190,16494,32
2016-03-02,15563,14938,33
2016-03-03,20052,19186,33
2016-03-04,15298,14707,33
2016-03-05,10002,9548,32
2016-03-06,10759,10328,32
2016-03-07,14796,14143,32
2016-03-08,15183,14558,33
2016-03-09,14494,13868,33
2016-03-10,13065,12583,32
2016-03-11,11098,10643,33
2016-03-12,9714,9256,33
2016-03-13,10611,10142,32
2016-03-14,14100,13506,32
2016-03-15,13312,12785,32
2016-03-16,14817,14298,33
2016-03-17,13290,12775,33
2016-03-18,10490,10112,31
2016-03-19,8478,8141,33
2016-03-20,10325,9893,32
2016-03-21,11680,11149,33
2016-03-22,11933,11447,32
2016-03-23,12251,11808,33
2016-03-24,12339,11907,33
2016-03-25,10127,9748,33
2016-03-26,9292,8934,32
2016-03-27,9532,9144,33
2016-03-28,12333,11916,32
2016-03-29,11725,11326,32
2016-03-30,21362,20702,33
2016-03-31,19263,18697,34
2016-04-01,12402,12058,34
2016-04-02,8634,8365,33
2016-04-03,8490,8162,33
2016-04-04,11181,10775,34
2016-04-05,12074,11740,34
2016-04-06,11955,11565,34
2016-04-07,12016,11585,32
2016-04-08,11308,10848,34
2016-04-09,8415,8144,32
2016-04-10,9603,9255,33
2016-04-11,12984,12451,33
2016-04-12,15490,15047,33
2016-04-13,14695,14249,32
2016-04-14,15032,14564,34
2016-04-15,12374,11901,33
2016-04-16,8591,8289,33
2016-04-17,10044,9758,33
2016-04-18,14009,13617,32
2016-04-19,21564,21022,32
2016-04-20,19334,18871,32
2016-04-21,16729,16297,33
2016-04-22,13472,13133,32
2016-04-23,9383,9095,34
2016-04-24,12452,12079,34
2016-04-25,30466,29699,33
2016-04-26,24996,24301,33
2016-04-27,17356,16786,34
2016-04-28,17302,16832,34
2016-04-29,15322,14940,34
2016-04-30,11334,10957,33
2016-05-01,10589,10191,33
2016-05-02,12035,11619,34
2016-05-03,11615,11268,34
2016-05-04,11753,11359,34
2016-05-05,11854,11537,34
2016-05-06,9618,9332,34
2016-05-07,7875,7642,34
2016-05-08,7681,7435,33
2016-05-09,11109,10715,34
2016-05-10,19691,19298,34
2016-05-11,18927,18424,33
2016-05-12,17899,17283,35
2016-05-13,14057,13511,34
2016-05-14,8843,8420,35
2016-05-15,9472,9105,35
2016-05-16,11152,10735,35
2016-05-17,11417,10948,35
2016-05-18,11799,11255,34
2016-05-19,11014,10446,35
2016-05-20,11090,10657,34
2016-05-21,8266,7990,35
2016-05-22,8638,8253,34
2016-05-23,88287,86323,34
2016-05-24,43352,42322,35
2016-05-25,18785,18222,35
2016-05-26,12923,12434,34
2016-05-27,10282,9925,35
2016-05-28,7152,6914,34
2016-05-29,8073,7802,35
2016-05-30,8817,8537,34
2016-05-31,10696,10319,34
2016-06-01,15002,14620,35
2016-06-02,13680,13310,34
2016-06-03,11216,10869,34
2016-06-04,8447,8178,35
2016-06-05,9203,8911,35
2016-06-06,12404,12058,34
2016-06-07,11770,11454,35
2016-06-08,10103,9765,35
2016-06-09,11634,11306,34
2016-06-10,9615,9320,34
2016-06-11,7057,6856,35
2016-06-12,7911,7654,35
2016-06-13,7944,7724,35
2016-06-14,9282,8990,35
2016-06-15,9506,9244,35
2016-06-16,8695,8441,35
2016-06-17,7260,7002,35
2016-06-18,7412,7163,34
2016-06-19,9447,9191,34
2016-06-20,11553,11259,34
2016-06-21,17355,17052,34
2016-06-22,11693,11331,34
2016-06-23,47779,46026,35
2016-06-24,29130,27549,35
2016-06-25,17951,16778,35
2016-06-26,16892,15749,34
2016-06-27,43890,41410,35
2016-06-28,33510,31883,34
2016-06-29,19181,18201,35
2016-06-30,16169,15349,35
2016-07-01,15399,14604,34
2016-07-02,12587,11800,34
2016-07-03,10631,10043,35
2016-07-04,10611,10207,35
2016-07-05,14977,14341,34
2016-07-06,90799,86113,36
2016-07-07,241438,228678,36
2016-07-08,327440,311165,37
2016-07-09,190753,182318,37
2016-07-10,132708,126784,37
2016-07-11,122899,116780,37
2016-07-12,102039,95975,37
2016-07-13,108932,103700,37
2016-07-14,108107,103316,37
2016-07-15,70016,66756,36
2016-07-16,42306,40284,37
2016-07-17,67602,64476,37
2016-07-18,119325,115687,37
2016-07-19,66262,64172,37
2016-07-20,43616,41957,37
2016-07-21,43792,42283,38
2016-07-22,36421,35269,38
2016-07-23,25974,25107,38
2016-07-24,26840,25806,38
2016-07-25,23801,22790,38
2016-07-26,28484,27305,38
2016-07-27,130395,127410,38
