date,sum,max,n_articles
2015-07-01,9486,9257,18
2015-07-02,9625,9402,19
2015-07-03,8025,7839,19
2015-07-04,6551,6377,20
2015-07-05,8319,8161,19
2015-07-06,7632,7411,19
2015-07-07,7285,7080,20
2015-07-08,8666,8392,19
2015-07-09,9647,9415,20
2015-07-10,8496,8252,19
2015-07-11,8132,7925,20
2015-07-12,7870,7626,20
2015-07-13,17263,16815,18
2015-07-14,25307,24740,19
2015-07-15,12811,12547,19
2015-07-16,9449,9230,20
2015-07-17,15135,14793,19
2015-07-18,12831,12551,20
2015-07-19,10241,9964,18
2015-07-20,9649,9405,19
2015-07-21,12525,11931,20
2015-07-22,70674,66892,21
2015-07-23,154464,150028,21
2015-07-24,264477,260983,20
2015-07-25,127215,125083,21
2015-07-26,127960,125574,21
2015-07-27,120306,117956,21
2015-07-28,103377,101553,21
2015-07-29,102657,100778,22
2015-07-30,76254,69989,21
2015-07-31,45577,42687,24
2015-08-01,32305,30678,22
2015-08-02,24798,23763,22
2015-08-03,25711,24726,23
2015-08-04,34374,33138,22
2015-08-05,23360,22570,23
2015-08-06,20502,19685,23
2015-08-07,18833,18162,23
2015-08-08,21326,20667,24
2015-08-09,52825,51485,24
2015-08-10,72008,70475,24
2015-08-11,54123,52804,24
2015-08-12,31805,30903,24
2015-08-13,23113,22399,25
2015-08-14,30736,30031,23
2015-08-15,17512,16899,23
2015-08-16,16990,16379,25
2015-08-17,18762,18113,24
2015-08-18,18787,17964,24
2015-08-19,17835,16257,25
2015-08-20,16500,15202,24
2015-08-21,13537,12864,25
2015-08-22,12862,12274,24
2015-08-23,23977,22930,26
2015-08-24,23457,22471,26
2015-08-25,17535,16737,25
2015-08-26,17210,16542,25
2015-08-27,18801,18092,26
2015-08-28,15112,14529,26
2015-08-29,13687,13171,25
2015-08-30,15192,14572,24
2015-08-31,16961,16243,25
2015-09-01,18564,17724,26
2015-09-02,29028,27933,26
2015-09-03,21980,21047,25
2015-09-04,14041,13286,24
2015-09-05,10597,9995,24
2015-09-06,10188,9624,24
2015-09-07,11118,10482,25
2015-09-08,28328,27315,26
2015-09-09,27296,26419,24
2015-09-10,23013,22201,25
2015-09-11,23807,23181,25
2015-09-12,11029,10557,24
2015-09-13,10920,10406,24
2015-09-14,12635,12101,25
2015-09-15,14310,13699,25
2015-09-16,12371,11950,24
2015-09-17,11731,11242,24
2015-09-18,10866,10385,24
2015-09-19,7648,7232,24
2015-09-20,9036,8575,24
2015-09-21,11900,11427,24
2015-09-22,10558,10088,25
2015-09-23,10816,10385,24
2015-09-24,10305,9840,24
2015-09-25,8818,8385,25
2015-09-26,7353,6941,24
2015-09-27,7886,7454,24
2015-09-28,10644,10125,24
2015-09-29,15341,14853,24
2015-09-30,12893,12403,26
2015-10-01,11117,10651,26
2015-10-02,9462,9045,25
2015-10-03,7480,7121,25
2015-10-04,9046,8660,26
2015-10-05,10530,10101,25
2015-10-06,10599,10219,25
2015-10-07,10184,9745,26
2015-10-08,11227,10767,25
2015-10-09,16726,16166,26
2015-10-10,9083,8685,25
2015-10-11,20397,19568,25
2015-10-12,19278,18546,26
2015-10-13,14841,14180,26
2015-10-14,16443,15699,25
2015-10-15,15653,15024,25
2015-10-16,26219,25365,25
2015-10-17,11880,11397,26
2015-10-18,10028,9596,26
2015-10-19,11815,11253,25
2015-10-20,11071,10603,25
2015-10-21,12316,11794,25
2015-10-22,11814,11329,25
2015-10-23,13046,12543,26
2015-10-24,10418,9978,26
2015-10-25,8648,8156,25
2015-10-26,11659,11034,26
2015-10-27,15908,15107,26
2015-10-28,19049,18013,26
2015-10-29,16287,15425,26
2015-10-30,13350,12624,27
2015-10-31,8153,7611,26
2015-11-01,9164,8596,26
2015-11-02,11834,11146,27
2015-11-03,12340,11687,27
2015-11-04,12865,12205,27
2015-11-05,12968,12308,26
2015-11-06,10461,9902,27
2015-11-07,11717,11137,26
2015-11-08,11473,10975,27
2015-11-09,16935,16365,27
2015-11-10,13854,13328,26
2015-11-11,15197,14700,26
2015-11-12,13908,13379,27
2015-11-13,11975,11395,26
2015-11-14,8336,7935,27
2015-11-15,10154,9710,27
2015-11-16,13238,12218,28
2015-11-17,14126,13034,29
2015-11-18,13454,12681,28
2015-11-19,12865,12079,29
2015-11-20,11612,10717,29
2015-11-21,10045,9447,29
2015-11-22,11756,10784,29
2015-11-23,16484,15710,29
2015-11-24,18163,16762,29
2015-11-25,43643,40653,30
2015-11-26,23611,22365,29
2015-11-27,14249,13467,29
2015-11-28,16261,15412,29
2015-11-29,16377,15574,30
2015-11-30,26749,25615,30
2015-12-01,28774,27165,29
2015-12-02,31060,29357,30
