article,days,views,ok,reason,n_titles,n_titles_offered,n_titles_no_data,n_titles_failed
Death_of_Tyrone_West,3110,46109,True,,2,2,0,0
Killing_of_Larry_Jackson_Jr.,2944,18189,True,,4,4,0,0
Killing_of_Jonathan_Ferrell,3419,319177,True,,4,4,0,0
Killing_of_Andy_Lopez,3472,185837,True,,4,4,0,0
Killing_of_James_Boyd,3472,193242,True,,3,3,0,0
Killing_of_Alex_Nieto,3158,58615,True,,4,4,0,0
Killing_of_Alfred_Redwine,3395,20034,True,,3,3,0,0
Killing_of_Dontre_Hamilton,3472,183438,True,,3,3,0,0
Killing_of_Eric_Harris,3472,201431,True,,7,7,0,0
Killing_of_Eric_Garner,3472,6227155,True,,3,3,0,0
Killing_of_John_Crawford_III,3472,1298082,True,,5,5,0,0
Killing_of_Michael_Brown,3472,8382212,True,,11,11,0,0
Killing_of_Ezell_Ford,3472,215724,True,,6,6,0,0
Murder_of_Laquan_McDonald,3333,2303429,True,,4,4,0,0
Killing_of_Akai_Gurley,3472,582407,True,,4,4,0,0
Killing_of_Tamir_Rice,3472,5373550,True,,4,4,0,0
Killing_of_Antonio_Martin,3472,62800,True,,3,3,0,0
Death_of_Natasha_McKenna,3351,189546,True,,2,2,0,0
Killing_of_Antonio_Zambrano-Montes,3470,52570,True,,2,2,0,0
Killing_of_Charley_Leundeu_Keunang,3259,49562,True,,4,4,0,0
Killing_of_Tony_Robinson,3472,142522,True,,4,4,0,0
Killing_of_Anthony_Hill,3267,140549,True,,4,4,0,0
Killing_of_Meagan_Hockaday,3472,77609,True,,3,3,0,0
Killing_of_Walter_Scott,3472,2232842,True,,8,8,0,0
Killing_of_Freddie_Gray,3472,4267794,True,,10,10,0,0
Death_of_Jonathan_Sanders,3442,60496,True,,3,3,0,0
Death_of_Sandra_Bland,3452,6808785,True,,3,3,0,0
Killing_of_Samuel_DuBose,3444,613430,True,,7,7,0,0
Killing_of_Zachary_Hammond,3434,141540,True,,3,3,0,0
Killing_of_Jeremy_McDole,3381,201810,True,,4,4,0,0
Killing_of_Corey_Jones,3334,658568,True,,4,4,0,0
Killing_of_Jamar_Clark,3333,406156,True,,3,3,0,0
Shooting_of_Daniel_Shaver,3184,4520747,True,,4,4,0,0
Killing_of_Dylan_Noble,0,0,False,no series,0,1,1,0
Killing_of_Alton_Sterling,3101,2083262,True,,7,7,0,0
Killing_of_Philando_Castile,3100,5504275,True,,17,17,0,0
Killing_of_Joseph_Mann,3013,53285,True,,3,3,0,0
Shooting_of_Charles_Kinsey,3086,955180,True,,2,2,0,0
Killing_of_Korryn_Gaines,3073,753017,True,,7,7,0,0
Killing_of_Tony_Timpa,1632,278711,True,,3,3,0,0
Killing_of_Terence_Crutcher,3026,624863,True,,6,6,0,0
Killing_of_Keith_Lamont_Scott,3024,571707,True,,4,4,0,0
Killing_of_Alfred_Olango,3017,49833,True,,3,3,0,0
Killing_of_Deborah_Danner,2995,57334,True,,4,4,0,0
Murder_of_Jordan_Edwards,2801,432615,True,,3,3,0,0
Killing_of_Patrick_Harmon,2645,42197,True,,4,4,0,0
Killing_of_John_Albers,457,1546,True,,1,1,0,0
Killing_of_Anthony_Weber,2502,18538,True,,3,3,0,0
Killing_of_Claudia_Gómez_González,1567,8644,True,,2,2,0,0
Killing_of_Antwon_Rose_Jr.,2386,852944,True,,7,7,0,0
Killing_of_Daniel_Hambrick,1277,17673,True,,2,2,0,0
Vanessa_Marquez,3472,1911431,True,,3,3,0,0
Killing_of_Emantic_Fitzgerald_Bradford_Jr.,2230,136973,True,,6,6,0,0
Killing_of_George_Robinson,1599,13139,True,,2,2,0,0
Killing_of_Willie_McCoy,2162,175101,True,,5,5,0,0
Killing_of_Javier_Ambler,1666,224171,True,,4,4,0,0
Killing_of_Ronald_Greene,1340,111073,True,,4,4,0,0
Murder_of_Jared_Lakey,1149,25073,True,,2,2,0,0
Killing_of_Elijah_McClain,1661,3012918,True,,4,4,0,0
Killing_of_Atatiana_Jefferson,1907,790878,True,,7,7,0,0
Killing_of_Alvin_Cole,1543,38285,True,,3,3,0,0
Killing_of_Manuel_Ellis,1669,196232,True,,3,3,0,0
Killing_of_Duncan_Lemp,1713,671475,True,,5,5,0,0
Killing_of_Breonna_Taylor,1694,14736819,True,,5,5,0,0
Killing_of_Daniel_Prude,1581,319748,True,,3,3,0,0
Killing_of_Bernardo_Palacios-Carbajal,1649,54857,True,,2,2,0,0
George_Floyd,3409,14355574,True,,14,14,0,0
Killing_of_Dion_Johnson,1699,40517,True,,4,4,0,0
Murder_of_George_Floyd,1681,18639557,True,,22,22,0,0
Killing_of_Tony_McDade,1679,210184,True,,4,4,0,0
Killing_of_David_McAtee,1674,407361,True,,8,8,0,0
Killing_of_Sean_Monterrosa,1671,129730,True,,3,3,0,0
Killing_of_Rayshard_Brooks,1663,1354211,True,,7,7,0,0
Killing_of_Andres_Guardado,1656,130998,True,,4,4,0,0
Killing_of_Julian_Lewis,1599,25266,True,,5,5,0,0
Shooting_of_Jacob_Blake,1591,4323661,True,,4,4,0,0
Killing_of_Dijon_Kizzee,1574,30005,True,,5,5,0,0
Killing_of_Marcellis_Stinnette,1532,18524,True,,2,2,0,0
Killing_of_Walter_Wallace,1527,158424,True,,4,4,0,0
Killing_of_Casey_Goodson,582,858,True,,2,2,0,0
Murder_of_Andre_Hill,1464,115227,True,,3,3,0,0
Killing_of_Angelo_Quinto,1404,16577,True,,2,2,0,0
Killing_of_Christian_Hall,1408,31290,True,,2,2,0,0
Killing_of_Dolal_Idd,1461,79613,True,,4,4,0,0
Death_of_Marvin_Scott,1380,17257,True,,4,4,0,0
Killing_of_Adam_Toledo,1357,446824,True,,5,5,0,0
Killing_of_Anthony_Alvarez,1343,27655,True,,2,2,0,0
Killing_of_Daunte_Wright,1360,1691873,True,,13,13,0,0
Killing_of_Lindani_Myeni,1201,45867,True,,2,2,0,0
Death_of_Mario_Gonzalez,1344,33494,True,,4,4,0,0
Killing_of_Ma'Khia_Bryant,1351,494348,True,,15,15,0,0
Killing_of_Andrew_Brown_Jr.,1350,125142,True,,7,7,0,0
Killing_of_Winston_Boogie_Smith,1307,91073,True,,2,2,0,0
Killing_of_Leneal_Frazier,647,12034,True,,2,2,0,0
Killing_of_Guillermo_Sanchez_and_Guillardo_Sanchez,604,2501,True,,2,2,0,0
Killing_of_Richard_Lee_Richards,0,0,False,no series,0,1,1,0
Killing_of_Amir_Locke,1062,207746,True,,3,3,0,0
Killing_of_Patrick_Lyoya,994,233554,True,,5,5,0,0
Killing_of_Jayland_Walker,914,293415,True,,4,4,0,0
Killing_of_Donovan_Lewis,852,42443,True,,2,2,0,0
Killing_of_Savannah_Graziano,264,13897,True,,2,2,0,0
Death_of_Keenan_Anderson,719,174776,True,,3,3,0,0
Killing_of_Sayed_Faisal,380,1381,True,,1,1,0,0
Killing_of_Tyre_Nichols,711,2344449,True,,5,5,0,0
Killing_of_Ricky_Cobb_II,330,16377,True,,2,2,0,0
Killing_of_Eddie_Irizarry,481,33964,True,,4,4,0,0
Killing_of_Dhal_Apet_and_Lueth_Mo,471,5430,True,,1,1,0,0
Killing_of_Nyah_Mway,176,26402,True,,2,2,0,0
Killing_of_Kevin_Mullins,104,60317,True,,3,3,0,0
