article,days,views,ok,reason,n_titles,n_titles_offered,n_titles_no_data,n_titles_failed
Death_of_Tyrone_West,3110,48470,True,,2,2,0,0
Killing_of_Larry_Jackson_Jr.,2944,21775,True,,4,4,0,0
Killing_of_Jonathan_Ferrell,3419,326117,True,,4,4,0,0
Killing_of_Andy_Lopez,3472,189556,True,,4,4,0,0
Killing_of_James_Boyd,3472,197420,True,,3,3,0,0
Killing_of_Alex_Nieto,3158,60733,True,,4,4,0,0
Killing_of_Alfred_Redwine,3395,21132,True,,3,3,0,0
Killing_of_Dontre_Hamilton,3472,189782,True,,3,3,0,0
Killing_of_Eric_Harris,3472,209807,True,,7,7,0,0
Killing_of_Eric_Garner,3472,6308092,True,,3,3,0,0
Killing_of_John_Crawford_III,3472,1315743,True,,5,5,0,0
Killing_of_Michael_Brown,3472,8494995,True,,11,11,0,0
Killing_of_Ezell_Ford,3472,222989,True,,6,6,0,0
Murder_of_Laquan_McDonald,3333,2328145,True,,4,4,0,0
Killing_of_Akai_Gurley,3472,594390,True,,4,4,0,0
Killing_of_Tamir_Rice,3472,5431840,True,,4,4,0,0
Killing_of_Antonio_Martin,3472,67870,True,,3,3,0,0
Death_of_Natasha_McKenna,3351,194741,True,,2,2,0,0
Killing_of_Antonio_Zambrano-Montes,3470,53774,True,,2,2,0,0
Killing_of_Charley_Leundeu_Keunang,3259,54127,True,,4,4,0,0
Killing_of_Tony_Robinson,3472,148376,True,,4,4,0,0
Killing_of_Anthony_Hill,3267,145878,True,,4,4,0,0
Killing_of_Meagan_Hockaday,3472,81904,True,,3,3,0,0
Killing_of_Walter_Scott,3472,2261945,True,,8,8,0,0
Killing_of_Freddie_Gray,3472,4307597,True,,10,10,0,0
Death_of_Jonathan_Sanders,3442,64511,True,,3,3,0,0
Death_of_Sandra_Bland,3452,6843327,True,,3,3,0,0
Killing_of_Samuel_DuBose,3444,624271,True,,7,7,0,0
Killing_of_Zachary_Hammond,3434,143313,True,,3,3,0,0
Killing_of_Jeremy_McDole,3381,206806,True,,4,4,0,0
Killing_of_Corey_Jones,3334,666744,True,,4,4,0,0
Killing_of_Jamar_Clark,3333,414945,True,,3,3,0,0
Shooting_of_Daniel_Shaver,3184,4570505,True,,4,4,0,0
Killing_of_Dylan_Noble,0,0,False,no series,0,1,1,0
Killing_of_Alton_Sterling,3101,2100816,True,,7,7,0,0
Killing_of_Philando_Castile,3100,5556888,True,,17,17,0,0
Killing_of_Joseph_Mann,3013,57354,True,,3,3,0,0
Shooting_of_Charles_Kinsey,3086,967571,True,,2,2,0,0
Killing_of_Korryn_Gaines,3073,761024,True,,7,7,0,0
Killing_of_Tony_Timpa,1632,292982,True,,3,3,0,0
Killing_of_Terence_Crutcher,3026,633102,True,,6,6,0,0
Killing_of_Keith_Lamont_Scott,3024,581479,True,,4,4,0,0
Killing_of_Alfred_Olango,3017,54221,True,,3,3,0,0
Killing_of_Deborah_Danner,2995,61603,True,,4,4,0,0
Murder_of_Jordan_Edwards,2801,440462,True,,3,3,0,0
Killing_of_Patrick_Harmon,2645,46181,True,,4,4,0,0
Killing_of_John_Albers,457,1737,True,,1,1,0,0
Killing_of_Anthony_Weber,2502,22222,True,,3,3,0,0
Killing_of_Claudia_Gómez_González,1567,9960,True,,2,2,0,0
Killing_of_Antwon_Rose_Jr.,2386,873560,True,,7,7,0,0
Killing_of_Daniel_Hambrick,1277,19301,True,,2,2,0,0
Vanessa_Marquez,3472,1944154,True,,3,3,0,0
Killing_of_Emantic_Fitzgerald_Bradford_Jr.,2230,142418,True,,6,6,0,0
Killing_of_George_Robinson,1599,16192,True,,2,2,0,0
Killing_of_Willie_McCoy,2162,198998,True,,5,5,0,0
Killing_of_Javier_Ambler,1666,231370,True,,4,4,0,0
Killing_of_Ronald_Greene,1340,117886,True,,4,4,0,0
Murder_of_Jared_Lakey,1149,26347,True,,2,2,0,0
Killing_of_Elijah_McClain,1661,3061751,True,,4,4,0,0
Killing_of_Atatiana_Jefferson,1907,806069,True,,7,7,0,0
Killing_of_Alvin_Cole,1543,43510,True,,3,3,0,0
Killing_of_Manuel_Ellis,1669,209765,True,,3,3,0,0
Killing_of_Duncan_Lemp,1713,678954,True,,5,5,0,0
Killing_of_Breonna_Taylor,1694,14867173,True,,5,5,0,0
Killing_of_Daniel_Prude,1581,328420,True,,3,3,0,0
Killing_of_Bernardo_Palacios-Carbajal,1649,56881,True,,2,2,0,0
George_Floyd,3409,14655351,True,,14,14,0,0
Killing_of_Dion_Johnson,1699,44869,True,,4,4,0,0
Murder_of_George_Floyd,1681,18965458,True,,22,22,0,0
Killing_of_Tony_McDade,1679,220888,True,,4,4,0,0
Killing_of_David_McAtee,1674,416625,True,,8,8,0,0
Killing_of_Sean_Monterrosa,1671,135401,True,,3,3,0,0
Killing_of_Rayshard_Brooks,1663,1380568,True,,7,7,0,0
Killing_of_Andres_Guardado,1656,134306,True,,4,4,0,0
Killing_of_Julian_Lewis,1599,28948,True,,5,5,0,0
Shooting_of_Jacob_Blake,1591,4357858,True,,4,4,0,0
Killing_of_Dijon_Kizzee,1574,34886,True,,5,5,0,0
Killing_of_Marcellis_Stinnette,1532,22245,True,,2,2,0,0
Killing_of_Walter_Wallace,1527,168721,True,,4,4,0,0
Killing_of_Casey_Goodson,582,997,True,,2,2,0,0
Murder_of_Andre_Hill,1464,122609,True,,3,3,0,0
Killing_of_Angelo_Quinto,1404,17889,True,,2,2,0,0
Killing_of_Christian_Hall,1408,33348,True,,2,2,0,0
Killing_of_Dolal_Idd,1461,86168,True,,4,4,0,0
Death_of_Marvin_Scott,1380,19812,True,,4,4,0,0
Killing_of_Adam_Toledo,1357,459864,True,,5,5,0,0
Killing_of_Anthony_Alvarez,1343,29460,True,,2,2,0,0
Killing_of_Daunte_Wright,1360,1723074,True,,13,13,0,0
Killing_of_Lindani_Myeni,1201,50573,True,,2,2,0,0
Death_of_Mario_Gonzalez,1344,35958,True,,4,4,0,0
Killing_of_Ma'Khia_Bryant,1351,511278,True,,15,15,0,0
Killing_of_Andrew_Brown_Jr.,1350,130467,True,,7,7,0,0
Killing_of_Winston_Boogie_Smith,1307,97058,True,,2,2,0,0
Killing_of_Leneal_Frazier,647,13210,True,,2,2,0,0
Killing_of_Guillermo_Sanchez_and_Guillardo_Sanchez,604,2838,True,,2,2,0,0
Killing_of_Richard_Lee_Richards,0,0,False,no series,0,1,1,0
Killing_of_Amir_Locke,1062,214264,True,,3,3,0,0
Killing_of_Patrick_Lyoya,994,243675,True,,5,5,0,0
Killing_of_Jayland_Walker,914,305322,True,,4,4,0,0
Killing_of_Donovan_Lewis,852,46712,True,,2,2,0,0
