article,keep,reason,locality,n_categories
16th_Street_NW,False,not a specific person's death or assault,,6
1988_Tompkins_Square_Park_riot,False,not an incident (riots),nyc,10
2015_Baltimore_protests,False,not an incident (riots),,16
2015_Chicago_White_Sox–Baltimore_Orioles_crowdless_game,False,not a specific person's death or assault,,11
2020_American_athlete_strikes,False,not a specific person's death or assault,,14
2020_Minneapolis_false_rumors_riot,False,not an incident (riots),,24
2020_Minneapolis_park_encampments,False,not an incident (riots),,8
2020_Riots:_How_Many_Times,False,not an incident (Songs),,4
2020_deployment_of_federal_forces_in_the_United_States,False,not an incident (riots),,13
2020–2023_Minneapolis–Saint_Paul_racial_unrest,False,not an incident (riots),,24
2021_Minneapolis_Question_2,False,not an incident (Organizations),,19
2021_Uptown_Minneapolis_unrest,False,not an incident (riots),,12
2022_Normandale_Park_shooting,False,not a specific person's death or assault,,13
8_minutes_46_seconds,False,not a specific person's death or assault,,3
8:46_(special),False,not an incident (documentary),,13
A_Surge_of_Power_(Jen_Reid)_2020,False,not a specific person's death or assault,,13
Aalayah_Eastmond,False,not a specific person's death or assault,,14
Abdul_Razak_Ali_Artan,False,not a specific person's death or assault,,17
Aiyana_Jones,False,not a specific person's death or assault,,8
Alex_Mengel,False,not a specific person's death or assault,nys,14
Alicia_Garza,False,not a specific person's death or assault,,25
All_American_Boys,False,not a specific person's death or assault,,13
All_Lives_Matter,False,not a specific person's death or assault,,14
Alright_(Kendrick_Lamar_song),False,not an incident (Songs),,21
Alvin_Cole,False,not a specific person's death or assault,,8
American_Trial:_The_Eric_Garner_Story,False,not an incident (films),nyc,4
Andrew_Goodman_(activist),False,not a specific person's death or assault,nyc,23
Angel_Down_(song),False,not an incident (Songs),,13
Angela_Atwood,False,no New York marker in its categories,,10
Anthony_Weber_(shooting_victim),False,not a specific person's death or assault,,8
Antonia_Martínez,False,not a specific person's death or assault,,9
Arrest_of_Omar_Jimenez,False,not a specific person's death or assault,,8
Arthur_McDuffie,False,no New York marker in its categories,,8
"Asbury_United_Methodist_Church_(Washington,_D.C.)",False,not a specific person's death or assault,,7
Assa_Traoré,False,not a specific person's death or assault,,8
Assata's_Daughters,False,not an incident (Organizations),,12
Assault_of_Abner_Louima,False,no pageview series,nyc,14
Ayọ_Tometi,False,not a specific person's death or assault,,22
BAMN,False,not an incident (Organizations),,6
BREATHE_Act,False,not a specific person's death or assault,,9
BYP100,False,not an incident (Organizations),,3
