date,component,value
2015-07-01,wiki_nyc,29.0
2015-07-02,wiki_nyc,52.0
2015-07-03,wiki_nyc,50.0
2015-07-04,wiki_nyc,39.0
2015-07-05,wiki_nyc,48.0
2015-07-06,wiki_nyc,62.0
2015-07-07,wiki_nyc,49.0
2015-07-08,wiki_nyc,63.0
2015-07-09,wiki_nyc,52.0
2015-07-10,wiki_nyc,41.0
2015-07-11,wiki_nyc,79.0
2015-07-12,wiki_nyc,90.0
2015-07-13,wiki_nyc,56.0
2015-07-14,wiki_nyc,67.0
2015-07-15,wiki_nyc,66.0
2015-07-16,wiki_nyc,34.0
2015-07-17,wiki_nyc,49.0
2015-07-18,wiki_nyc,57.0
2015-07-19,wiki_nyc,63.0
2015-07-20,wiki_nyc,60.0
2015-07-21,wiki_nyc,45.0
2015-07-22,wiki_nyc,60.0
2015-07-23,wiki_nyc,89.0
2015-07-24,wiki_nyc,62.0
2015-07-25,wiki_nyc,77.0
2015-07-26,wiki_nyc,99.0
2015-07-27,wiki_nyc,84.0
2015-07-28,wiki_nyc,52.0
2015-07-29,wiki_nyc,42.0
2015-07-30,wiki_nyc,52.0
2015-07-31,wiki_nyc,43.0
2015-08-01,wiki_nyc,35.0
2015-08-02,wiki_nyc,53.0
2015-08-03,wiki_nyc,49.0
2015-08-04,wiki_nyc,37.0
2015-08-05,wiki_nyc,37.0
2015-08-06,wiki_nyc,57.0
2015-08-07,wiki_nyc,49.0
2015-08-08,wiki_nyc,40.0
2015-08-09,wiki_nyc,64.0
2015-08-10,wiki_nyc,67.0
2015-08-11,wiki_nyc,36.0
2015-08-12,wiki_nyc,41.0
2015-08-13,wiki_nyc,45.0
2015-08-14,wiki_nyc,62.0
2015-08-15,wiki_nyc,43.0
2015-08-16,wiki_nyc,43.0
2015-08-17,wiki_nyc,42.0
2015-08-18,wiki_nyc,82.0
2015-08-19,wiki_nyc,40.0
2015-08-20,wiki_nyc,42.0
2015-08-21,wiki_nyc,50.0
2015-08-22,wiki_nyc,66.0
2015-08-23,wiki_nyc,68.0
2015-08-24,wiki_nyc,50.0
2015-08-25,wiki_nyc,68.0
2015-08-26,wiki_nyc,59.0
2015-08-27,wiki_nyc,55.0
2015-08-28,wiki_nyc,49.0
