date,article,views
2015-07-01,Daniel_Prude,0.0
2015-07-01,Death_of_Anthony_Baez,0.0
2015-07-01,Death_of_Michael_Stewart,29.0
2015-07-01,Killing_of_Akai_Gurley,0.0
2015-07-01,Killing_of_Amadou_Diallo,0.0
2015-07-01,Killing_of_Daniel_Prude,0.0
2015-07-01,Killing_of_Deborah_Danner,0.0
2015-07-01,Killing_of_Gidone_Busch,0.0
2015-07-01,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-01,Killing_of_Randolph_Evans,0.0
2015-07-01,Killing_of_Sean_Bell,0.0
2015-07-02,Daniel_Prude,0.0
2015-07-02,Death_of_Anthony_Baez,0.0
2015-07-02,Death_of_Michael_Stewart,52.0
2015-07-02,Killing_of_Akai_Gurley,0.0
2015-07-02,Killing_of_Amadou_Diallo,0.0
2015-07-02,Killing_of_Daniel_Prude,0.0
2015-07-02,Killing_of_Deborah_Danner,0.0
2015-07-02,Killing_of_Gidone_Busch,0.0
2015-07-02,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-02,Killing_of_Randolph_Evans,0.0
2015-07-02,Killing_of_Sean_Bell,0.0
2015-07-03,Daniel_Prude,0.0
2015-07-03,Death_of_Anthony_Baez,0.0
2015-07-03,Death_of_Michael_Stewart,50.0
2015-07-03,Killing_of_Akai_Gurley,0.0
2015-07-03,Killing_of_Amadou_Diallo,0.0
2015-07-03,Killing_of_Daniel_Prude,0.0
2015-07-03,Killing_of_Deborah_Danner,0.0
2015-07-03,Killing_of_Gidone_Busch,0.0
2015-07-03,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-03,Killing_of_Randolph_Evans,0.0
2015-07-03,Killing_of_Sean_Bell,0.0
2015-07-04,Daniel_Prude,0.0
2015-07-04,Death_of_Anthony_Baez,0.0
2015-07-04,Death_of_Michael_Stewart,39.0
2015-07-04,Killing_of_Akai_Gurley,0.0
2015-07-04,Killing_of_Amadou_Diallo,0.0
2015-07-04,Killing_of_Daniel_Prude,0.0
2015-07-04,Killing_of_Deborah_Danner,0.0
2015-07-04,Killing_of_Gidone_Busch,0.0
2015-07-04,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-04,Killing_of_Randolph_Evans,0.0
2015-07-04,Killing_of_Sean_Bell,0.0
2015-07-05,Daniel_Prude,0.0
2015-07-05,Death_of_Anthony_Baez,0.0
2015-07-05,Death_of_Michael_Stewart,48.0
2015-07-05,Killing_of_Akai_Gurley,0.0
2015-07-05,Killing_of_Amadou_Diallo,0.0
2015-07-05,Killing_of_Daniel_Prude,0.0
2015-07-05,Killing_of_Deborah_Danner,0.0
2015-07-05,Killing_of_Gidone_Busch,0.0
2015-07-05,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-05,Killing_of_Randolph_Evans,0.0
2015-07-05,Killing_of_Sean_Bell,0.0
2015-07-06,Daniel_Prude,0.0
2015-07-06,Death_of_Anthony_Baez,0.0
2015-07-06,Death_of_Michael_Stewart,62.0
2015-07-06,Killing_of_Akai_Gurley,0.0
2015-07-06,Killing_of_Amadou_Diallo,0.0
2015-07-06,Killing_of_Daniel_Prude,0.0
2015-07-06,Killing_of_Deborah_Danner,0.0
2015-07-06,Killing_of_Gidone_Busch,0.0
2015-07-06,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-06,Killing_of_Randolph_Evans,0.0
2015-07-06,Killing_of_Sean_Bell,0.0
2015-07-07,Daniel_Prude,0.0
2015-07-07,Death_of_Anthony_Baez,0.0
2015-07-07,Death_of_Michael_Stewart,49.0
2015-07-07,Killing_of_Akai_Gurley,0.0
2015-07-07,Killing_of_Amadou_Diallo,0.0
2015-07-07,Killing_of_Daniel_Prude,0.0
2015-07-07,Killing_of_Deborah_Danner,0.0
2015-07-07,Killing_of_Gidone_Busch,0.0
2015-07-07,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-07,Killing_of_Randolph_Evans,0.0
2015-07-07,Killing_of_Sean_Bell,0.0
2015-07-08,Daniel_Prude,0.0
2015-07-08,Death_of_Anthony_Baez,0.0
2015-07-08,Death_of_Michael_Stewart,63.0
2015-07-08,Killing_of_Akai_Gurley,0.0
2015-07-08,Killing_of_Amadou_Diallo,0.0
2015-07-08,Killing_of_Daniel_Prude,0.0
2015-07-08,Killing_of_Deborah_Danner,0.0
2015-07-08,Killing_of_Gidone_Busch,0.0
2015-07-08,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-08,Killing_of_Randolph_Evans,0.0
2015-07-08,Killing_of_Sean_Bell,0.0
2015-07-09,Daniel_Prude,0.0
2015-07-09,Death_of_Anthony_Baez,0.0
2015-07-09,Death_of_Michael_Stewart,52.0
2015-07-09,Killing_of_Akai_Gurley,0.0
2015-07-09,Killing_of_Amadou_Diallo,0.0
2015-07-09,Killing_of_Daniel_Prude,0.0
2015-07-09,Killing_of_Deborah_Danner,0.0
2015-07-09,Killing_of_Gidone_Busch,0.0
2015-07-09,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-09,Killing_of_Randolph_Evans,0.0
2015-07-09,Killing_of_Sean_Bell,0.0
2015-07-10,Daniel_Prude,0.0
2015-07-10,Death_of_Anthony_Baez,0.0
2015-07-10,Death_of_Michael_Stewart,41.0
2015-07-10,Killing_of_Akai_Gurley,0.0
2015-07-10,Killing_of_Amadou_Diallo,0.0
2015-07-10,Killing_of_Daniel_Prude,0.0
2015-07-10,Killing_of_Deborah_Danner,0.0
2015-07-10,Killing_of_Gidone_Busch,0.0
2015-07-10,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-10,Killing_of_Randolph_Evans,0.0
2015-07-10,Killing_of_Sean_Bell,0.0
2015-07-11,Daniel_Prude,0.0
2015-07-11,Death_of_Anthony_Baez,0.0
2015-07-11,Death_of_Michael_Stewart,79.0
2015-07-11,Killing_of_Akai_Gurley,0.0
2015-07-11,Killing_of_Amadou_Diallo,0.0
2015-07-11,Killing_of_Daniel_Prude,0.0
2015-07-11,Killing_of_Deborah_Danner,0.0
2015-07-11,Killing_of_Gidone_Busch,0.0
2015-07-11,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-11,Killing_of_Randolph_Evans,0.0
2015-07-11,Killing_of_Sean_Bell,0.0
2015-07-12,Daniel_Prude,0.0
2015-07-12,Death_of_Anthony_Baez,0.0
2015-07-12,Death_of_Michael_Stewart,90.0
2015-07-12,Killing_of_Akai_Gurley,0.0
2015-07-12,Killing_of_Amadou_Diallo,0.0
2015-07-12,Killing_of_Daniel_Prude,0.0
2015-07-12,Killing_of_Deborah_Danner,0.0
2015-07-12,Killing_of_Gidone_Busch,0.0
2015-07-12,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-12,Killing_of_Randolph_Evans,0.0
2015-07-12,Killing_of_Sean_Bell,0.0
2015-07-13,Daniel_Prude,0.0
2015-07-13,Death_of_Anthony_Baez,0.0
2015-07-13,Death_of_Michael_Stewart,56.0
2015-07-13,Killing_of_Akai_Gurley,0.0
2015-07-13,Killing_of_Amadou_Diallo,0.0
2015-07-13,Killing_of_Daniel_Prude,0.0
2015-07-13,Killing_of_Deborah_Danner,0.0
2015-07-13,Killing_of_Gidone_Busch,0.0
2015-07-13,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-13,Killing_of_Randolph_Evans,0.0
2015-07-13,Killing_of_Sean_Bell,0.0
2015-07-14,Daniel_Prude,0.0
2015-07-14,Death_of_Anthony_Baez,0.0
2015-07-14,Death_of_Michael_Stewart,67.0
2015-07-14,Killing_of_Akai_Gurley,0.0
2015-07-14,Killing_of_Amadou_Diallo,0.0
2015-07-14,Killing_of_Daniel_Prude,0.0
2015-07-14,Killing_of_Deborah_Danner,0.0
2015-07-14,Killing_of_Gidone_Busch,0.0
2015-07-14,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-14,Killing_of_Randolph_Evans,0.0
2015-07-14,Killing_of_Sean_Bell,0.0
2015-07-15,Daniel_Prude,0.0
2015-07-15,Death_of_Anthony_Baez,0.0
2015-07-15,Death_of_Michael_Stewart,66.0
2015-07-15,Killing_of_Akai_Gurley,0.0
2015-07-15,Killing_of_Amadou_Diallo,0.0
2015-07-15,Killing_of_Daniel_Prude,0.0
2015-07-15,Killing_of_Deborah_Danner,0.0
2015-07-15,Killing_of_Gidone_Busch,0.0
2015-07-15,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-15,Killing_of_Randolph_Evans,0.0
2015-07-15,Killing_of_Sean_Bell,0.0
2015-07-16,Daniel_Prude,0.0
2015-07-16,Death_of_Anthony_Baez,0.0
2015-07-16,Death_of_Michael_Stewart,34.0
2015-07-16,Killing_of_Akai_Gurley,0.0
2015-07-16,Killing_of_Amadou_Diallo,0.0
2015-07-16,Killing_of_Daniel_Prude,0.0
2015-07-16,Killing_of_Deborah_Danner,0.0
2015-07-16,Killing_of_Gidone_Busch,0.0
2015-07-16,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-16,Killing_of_Randolph_Evans,0.0
2015-07-16,Killing_of_Sean_Bell,0.0
2015-07-17,Daniel_Prude,0.0
2015-07-17,Death_of_Anthony_Baez,0.0
2015-07-17,Death_of_Michael_Stewart,49.0
2015-07-17,Killing_of_Akai_Gurley,0.0
2015-07-17,Killing_of_Amadou_Diallo,0.0
2015-07-17,Killing_of_Daniel_Prude,0.0
2015-07-17,Killing_of_Deborah_Danner,0.0
2015-07-17,Killing_of_Gidone_Busch,0.0
2015-07-17,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-17,Killing_of_Randolph_Evans,0.0
2015-07-17,Killing_of_Sean_Bell,0.0
2015-07-18,Daniel_Prude,0.0
2015-07-18,Death_of_Anthony_Baez,0.0
2015-07-18,Death_of_Michael_Stewart,57.0
2015-07-18,Killing_of_Akai_Gurley,0.0
2015-07-18,Killing_of_Amadou_Diallo,0.0
2015-07-18,Killing_of_Daniel_Prude,0.0
2015-07-18,Killing_of_Deborah_Danner,0.0
2015-07-18,Killing_of_Gidone_Busch,0.0
2015-07-18,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-18,Killing_of_Randolph_Evans,0.0
2015-07-18,Killing_of_Sean_Bell,0.0
2015-07-19,Daniel_Prude,0.0
2015-07-19,Death_of_Anthony_Baez,0.0
2015-07-19,Death_of_Michael_Stewart,63.0
2015-07-19,Killing_of_Akai_Gurley,0.0
2015-07-19,Killing_of_Amadou_Diallo,0.0
2015-07-19,Killing_of_Daniel_Prude,0.0
2015-07-19,Killing_of_Deborah_Danner,0.0
2015-07-19,Killing_of_Gidone_Busch,0.0
2015-07-19,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-19,Killing_of_Randolph_Evans,0.0
2015-07-19,Killing_of_Sean_Bell,0.0
2015-07-20,Daniel_Prude,0.0
2015-07-20,Death_of_Anthony_Baez,0.0
2015-07-20,Death_of_Michael_Stewart,60.0
2015-07-20,Killing_of_Akai_Gurley,0.0
2015-07-20,Killing_of_Amadou_Diallo,0.0
2015-07-20,Killing_of_Daniel_Prude,0.0
2015-07-20,Killing_of_Deborah_Danner,0.0
2015-07-20,Killing_of_Gidone_Busch,0.0
2015-07-20,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-20,Killing_of_Randolph_Evans,0.0
2015-07-20,Killing_of_Sean_Bell,0.0
2015-07-21,Daniel_Prude,0.0
2015-07-21,Death_of_Anthony_Baez,0.0
2015-07-21,Death_of_Michael_Stewart,45.0
2015-07-21,Killing_of_Akai_Gurley,0.0
2015-07-21,Killing_of_Amadou_Diallo,0.0
2015-07-21,Killing_of_Daniel_Prude,0.0
2015-07-21,Killing_of_Deborah_Danner,0.0
2015-07-21,Killing_of_Gidone_Busch,0.0
2015-07-21,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-21,Killing_of_Randolph_Evans,0.0
2015-07-21,Killing_of_Sean_Bell,0.0
2015-07-22,Daniel_Prude,0.0
2015-07-22,Death_of_Anthony_Baez,0.0
2015-07-22,Death_of_Michael_Stewart,60.0
2015-07-22,Killing_of_Akai_Gurley,0.0
2015-07-22,Killing_of_Amadou_Diallo,0.0
2015-07-22,Killing_of_Daniel_Prude,0.0
2015-07-22,Killing_of_Deborah_Danner,0.0
2015-07-22,Killing_of_Gidone_Busch,0.0
2015-07-22,Killing_of_Kenneth_Chamberlain_Sr.,0.0
2015-07-22,Killing_of_Randolph_Evans,0.0
2015-07-22,Killing_of_Sean_Bell,0.0
