name,article,date,views
George Floyd,Killing_of_George_Floyd,2020-05-26,3
George Floyd,Killing_of_George_Floyd,2020-05-27,147
George Floyd,Killing_of_George_Floyd,2020-05-28,1195
George Floyd,Killing_of_George_Floyd,2020-05-29,1842
George Floyd,Killing_of_George_Floyd,2020-05-30,1978
George Floyd,Killing_of_George_Floyd,2020-05-31,1694
George Floyd,Killing_of_George_Floyd,2020-06-01,1803
George Floyd,Killing_of_George_Floyd,2020-06-02,334364
George Floyd,Killing_of_George_Floyd,2020-06-03,723816
George Floyd,Killing_of_George_Floyd,2020-06-04,760588
George Floyd,Killing_of_George_Floyd,2020-06-05,454585
George Floyd,Killing_of_George_Floyd,2020-06-06,304083
George Floyd,Killing_of_George_Floyd,2020-06-07,271422
George Floyd,Killing_of_George_Floyd,2020-06-08,233202
George Floyd,Killing_of_George_Floyd,2020-06-09,202050
George Floyd,Killing_of_George_Floyd,2020-06-10,130190
George Floyd,Killing_of_George_Floyd,2020-06-11,95143
George Floyd,Killing_of_George_Floyd,2020-06-12,77792
George Floyd,Killing_of_George_Floyd,2020-06-13,64984
George Floyd,Killing_of_George_Floyd,2020-06-14,62136
George Floyd,Killing_of_George_Floyd,2020-06-15,65759
George Floyd,Killing_of_George_Floyd,2020-06-16,61518
George Floyd,Killing_of_George_Floyd,2020-06-17,49296
George Floyd,Killing_of_George_Floyd,2020-06-18,51154
George Floyd,Killing_of_George_Floyd,2020-06-19,46165
George Floyd,Killing_of_George_Floyd,2020-06-20,39730
George Floyd,Killing_of_George_Floyd,2020-06-21,39836
George Floyd,Killing_of_George_Floyd,2020-06-22,42950
George Floyd,Killing_of_George_Floyd,2020-06-23,38069
George Floyd,Killing_of_George_Floyd,2020-06-24,30389
George Floyd,Killing_of_George_Floyd,2020-06-25,29537
George Floyd,Killing_of_George_Floyd,2020-06-26,32078
George Floyd,Killing_of_George_Floyd,2020-06-27,29676
George Floyd,Killing_of_George_Floyd,2020-06-28,25448
George Floyd,Killing_of_George_Floyd,2020-06-29,24138
George Floyd,Killing_of_George_Floyd,2020-06-30,20723
George Floyd,Killing_of_George_Floyd,2020-07-01,19652
George Floyd,Killing_of_George_Floyd,2020-07-02,18043
George Floyd,Killing_of_George_Floyd,2020-07-03,17405
George Floyd,Killing_of_George_Floyd,2020-07-04,16337
George Floyd,Killing_of_George_Floyd,2020-07-05,17413
George Floyd,Killing_of_George_Floyd,2020-07-06,16955
George Floyd,Killing_of_George_Floyd,2020-07-07,15255
George Floyd,Killing_of_George_Floyd,2020-07-08,14923
George Floyd,Killing_of_George_Floyd,2020-07-09,18265
George Floyd,Killing_of_George_Floyd,2020-07-10,15070
George Floyd,Killing_of_George_Floyd,2020-07-11,12358
George Floyd,Killing_of_George_Floyd,2020-07-12,12775
George Floyd,Killing_of_George_Floyd,2020-07-13,14557
George Floyd,Killing_of_George_Floyd,2020-07-14,13073
George Floyd,Killing_of_George_Floyd,2020-07-15,14189
George Floyd,Killing_of_George_Floyd,2020-07-16,13660
George Floyd,Killing_of_George_Floyd,2020-07-17,11287
George Floyd,Killing_of_George_Floyd,2020-07-18,10228
George Floyd,Killing_of_George_Floyd,2020-07-19,11361
George Floyd,Killing_of_George_Floyd,2020-07-20,10265
George Floyd,Killing_of_George_Floyd,2020-07-21,10243
George Floyd,Killing_of_George_Floyd,2020-07-22,9330
George Floyd,Killing_of_George_Floyd,2020-07-23,9889
George Floyd,Killing_of_George_Floyd,2020-07-24,8736
